name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Karma Cafe,"Navjivan Trust, B/h Gujarat Vidyapith, Navjeevan Press Rd, Navrangpura, Ahmedabad, Gujarat 380009",,079 2754 0635,,4.6,cafe,,ahmedabad,gujarat,"Navjivan Trust, B/h Gujarat Vidyapith"
Zen Cafe,"University Rd, Navrangpura, Ahmedabad, Gujarat 380009",zencafe.co,096625 04013,,4.3,cafe,,ahmedabad,gujarat,"University Rd, Navrangpura"
The Project Cafe,"Yellow House, No. 7, Tarek Mehta Marg, Ambawadi, Ahmedabad, Gujarat 380009",theprojectcafe.co,063598 87607,,4.0,cafe,,ahmedabad,gujarat,"Yellow House, No. 7"
7 Star Rooftop Cafe,"Vittal Complex, Top Floor, New CG Rd, opp. Sakar School, Chandkheda, Ahmedabad, Gujarat 382424",,078747 40055,,4.7,cafe,,ahmedabad,gujarat,"Vittal Complex, Top Floor"
Mocha Bodakdev,"Ground Floor, Devashish Business Park, 6-9, Premchand Nagar Rd, opposite Krishna Complex, Bodakdev, Ahmedabad, Gujarat 380054",,097252 00002,,4.4,cafe,,ahmedabad,gujarat,"Ground Floor, Devashish Business Park"
Shambhu's Coffee Bar,"Sardar Patel Museum, Riverfront Rd, Bhimnath Mahadev, outside, Shahibag, Ahmedabad, Gujarat 380004",shambhuscoffeebar.com,072289 53750,,4.0,cafe,,ahmedabad,gujarat,"Sardar Patel Museum, Riverfront Rd"
The Messy Door Cafe Ahmedabad,"Ground floor, Shop no 1, Gala Business Centre, 2, HL college Road, near Reliance fresh, Navrangpura, Ahmedabad, Gujarat 380006",,085111 23254,,4.6,cafe,,ahmedabad,gujarat,"Ground floor, Shop no 1"
Ristretto Behind The Rods,"A-1, Maharaja Palace, Near, Vijay Cross Rd, opp. Gujarat University Plaza, Ahmedabad, Gujarat 380009",,081401 83183,,4.3,cafe,,ahmedabad,gujarat,"A-1, Maharaja Palace"
Mocha Cg Road,"10, Vasantbaug society, Gulbai Tekra Rd, opp. IDBI Bank, near CA Circle, Navrangpura, Ahmedabad, Gujarat 380006",,076002 60000,,4.3,cafe,,ahmedabad,gujarat,"10, Vasantbaug society"
Kaffa Coffee Roasters,"Kaffa Coffee Roasters oppo Atira, IIM Rd, near Apang Manav Mandal, Panjara Pol, Ambawadi, Ahmedabad, Gujarat 380051",,098240 02487,,4.3,cafe,,ahmedabad,gujarat,"Kaffa Coffee Roasters oppo Atira, IIM Rd"
Tent Rooftop Restro & Cafe | Anniversary Celebration | Birthday Celebration in Ahmedabad,"5th Floor, Shri Vardhman house, H.L, College Road, New Commercial Mills Staff Society, Navrangpura, Ahmedabad, Gujarat 380006",tentrooftoprestrocafe.com,084859 72118,,4.5,cafe,,ahmedabad,gujarat,"5th Floor, Shri Vardhman house"
Cafe Natarani,"2HXF+24R, Darpana Academy, Ashram Road, Ahmedabad, Ashram Road, Central Ahmedabad, Ashram Rd, Central, Usmanpura, Ahmedabad, Gujarat 380009",,079 2755 1389,,4.1,cafe,,ahmedabad,gujarat,"2HXF+24R, Darpana Academy"
Crush Coffee - SG Highway,"Ground Floor Wide Angle Multiplex, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380015",crushcoffee.in,083206 12851,,4.4,cafe,,ahmedabad,gujarat,"Ground Floor Wide Angle Multiplex, Sarkhej - Gandhinagar Hwy"
Brewgarten,"Shop 8&9, Kashi Bhuvan, Narayan Park Soc Opp. Yanki Sizzlers H.L, Commerce College Rd, Navrangpura, Ahmedabad, Gujarat 380009",,087994 79387,,4.4,cafe,,ahmedabad,gujarat,"Shop 8&9, Kashi Bhuvan"
Turquoise Villa Bistro & Café,"Ground Floor, Shanay l, IIM Atira Road, near AMA, Ambawadi, Ahmedabad, Gujarat 380015",cafeturquoisevilla.com,097250 87333,,4.1,cafe,,ahmedabad,gujarat,"Ground Floor, Shanay l"
The Mad House,"1st Floor, MSK House, BRTS Stop, opp. Gulbai Tekra, Panjarapole, Ahmedabad, Gujarat 380015",m.facebook.com,092657 25530,,4.1,cafe,,ahmedabad,gujarat,"1st Floor, MSK House"
Unlocked Cafe,"Umashankar Joshi Marg, near Girish Cold Drinks, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006",unlocked.co.in,079 4890 0165,,4.2,cafe,,ahmedabad,gujarat,"Umashankar Joshi Marg, near Girish Cold Drinks"
Kaffee Mast Hai!,"Shree Balaji Agora Mall, Sughad, Ahmedabad, Gujarat 382421",sbam.in,070460 35078,,4.1,cafe,,ahmedabad,gujarat,"Shree Balaji Agora Mall, Sughad"
Hakuna Matata cafe,"New CG Rd, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424",,097371 68887,,4.8,cafe,,ahmedabad,gujarat,"New CG Rd, Nigam Nagar"
Verve Cafe,"temple to underbridge, 104, A Park Business Hub, near panchal hall Way of shanidev, Airport Rd, opp. calico textile museum, Shahibag, Ahmedabad, Gujarat 380004",,,,4.6,cafe,,ahmedabad,gujarat,"temple to underbridge, 104"
Caffix- The Tech Cafe,"Third Floor, 301, Soham Pristine, above Vadilal Happiness, PRL Colony, Thaltej, Ahmedabad, Gujarat 380058",caffix.in,082000 19173,,4.2,cafe,,ahmedabad,gujarat,"Third Floor, 301"
Coffee By Di Bella,"Ground Floor/2, Campus Corner, Xavier College corner, Navrangpura St, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",,091671 99555,,4.2,cafe,,ahmedabad,gujarat,"Ground Floor/2, Campus Corner"
micro cafe,"Aarashur Complex, 120 Feet Ring Rd, University Area, Ahmedabad, Gujarat 380015",swiggy.com,092654 59167,,4.8,cafe,,ahmedabad,gujarat,"Aarashur Complex, 120 Feet Ring Rd"
The Café,"Stellar Building, Sindhu Bhavan Marg, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059",,,,4.2,cafe,,ahmedabad,gujarat,"Stellar Building, Sindhu Bhavan Marg"
Aarambh Cafe,"Nehru Foundation for Development, Inside CEE campus, Ahmedabad, Gujarat 380054",,090995 81803,,4.5,cafe,,ahmedabad,gujarat,"Nehru Foundation for Development, Inside CEE campus"
Zen Cafe,"Satellite Rd, beside Sundervan, Panchsheel Enclave, Jodhpur Village, Ahmedabad, Gujarat 380015",,096625 04015,,4.3,cafe,,ahmedabad,gujarat,"Satellite Rd, beside Sundervan"
Koffee Stories | Ahmedabad,"G-6, Sun Avenue One, Manek Baug Rd, nr. Sun Prima, Bhudarpura, Shyamal, Ahmedabad, Gujarat 380006",linktr.ee,090238 39066,,4.4,cafe,,ahmedabad,gujarat,"G-6, Sun Avenue One"
Seva Cafe,"4th Floor Shopper's Plaza, Chimanlal Girdharlal Rd, opp. Municipal Market, Ahmedabad, Gujarat 380009",,075672 62737,,4.6,cafe,,ahmedabad,gujarat,"4th Floor Shopper's Plaza, Chimanlal Girdharlal Rd"
Java+,"Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",marriott.com,079 6618 5000,,4.3,cafe,,ahmedabad,gujarat,"Courtyard Marriott, Satellite Rd"
Brewers The Coffee Bar,"Central Business Space, A/1, opp. Sukhsagar Complex, nr. Fortune Landmark Hotel, Usmanpura, Ahmedabad, Gujarat 380009",,098245 49077,,4.6,cafe,,ahmedabad,gujarat,"Central Business Space, A/1"
