name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Roast and Toast,"Shop no 3 and 4 Ground Floor, Synergy Space, Sarkhej - Gandhinagar Hwy, Sargasan, Gandhinagar, Gujarat 382419",,082828 24903,,4.7,cafe,,gandhinagar,gujarat,"Shop no 3 and 4 Ground Floor, Synergy Space"
Crush Coffee - Gandhinagar,"Pramukh Corporate, 21, PDPU Rd, Raysan, Gandhinagar, Gujarat 382426",crushcoffee.in,083206 12851,,4.2,cafe,,gandhinagar,gujarat,"Pramukh Corporate, 21"
Cafezza be caffeinated,"5JGH+3P6, Kudasan-Por Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",,098790 00097,,4.4,cafe,,gandhinagar,gujarat,"5JGH+3P6, Kudasan-Por Rd"
Mocha Gandhinagar,"Infocity Club And Resort, InfoCity Club, Near Indroda Circle, Infocity, Gandhinagar, Gujarat 382007",mocha.co.in,090811 13330,,4.4,cafe,,gandhinagar,gujarat,"Infocity Club And Resort, InfoCity Club"
Brothers Cafe,"Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",,,,4.4,cafe,,gandhinagar,gujarat,"Samarpan Circle, KH 7 Dharm Cir"
Cafe Creamoholic,"Samarpan Circle, KH 7 Dharm Cir, Sector 28 GIDC, Sector 28, Gandhinagar, Gujarat 382028",,,,4.4,cafe,,gandhinagar,gujarat,"Samarpan Circle, KH 7 Dharm Cir"
Apnaa Addaa The Kafe Keetle,"5JPM+4QM, Saptrushi Society Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",,096240 21197,,4.2,cafe,,gandhinagar,gujarat,"5JPM+4QM, Saptrushi Society Rd"
Patnagar Café,"Shalin complex, B3, Rd No. 5, near Gh-5 circle, Sector 22, Gandhinagar, Gujarat 382021",patnagarcafe.com,090998 98611,,4.9,cafe,,gandhinagar,gujarat,"Shalin complex, B3"
"Ajay's Café - Sector 16, Gandhinagar","Plot No.436, GH Rd, near HDFC Bank, Old M.L.A.Quarters, Sector 17, Gandhinagar, Gujarat 382016",ajays.co.in,,,4.6,cafe,,gandhinagar,gujarat,"Plot No.436, GH Rd"
Cheesy Crazy Cafe,"The Landmark, A - 18, Kudasan, Gandhinagar, Gujarat 382419",,,,4.6,cafe,,gandhinagar,gujarat,"The Landmark, A - 18"
Shiva’s Coffee and Snacks Sector.11 Gandhinagar,"Unit No.5, Ground Floor, Skyline, Plot No.23, Sector No.11, Sector 11, Gandhinagar, Gujarat 382011",shivascoffeebar.com,070160 26978,,4.4,cafe,,gandhinagar,gujarat,"Unit No.5, Ground Floor"
The Black Bird Cafe & Restaurant,"Swagat Holiday Mall Rd, Sargasan, Gandhinagar, Gujarat 382419",instagram.com,095742 09601,,4.4,cafe,,gandhinagar,gujarat,"Swagat Holiday Mall Rd, Sargasan"
The Avenue Cafe,"Swagat Holiday Mall Rd, Sargasan, Gandhinagar, Gujarat 382419",instagram.com,095742 09601,,4.4,cafe,,gandhinagar,gujarat,"Swagat Holiday Mall Rd, Sargasan"
Mr Singh's Cafe,"Doubledaker, Sector 24, Gandhinagar, Gujarat 382016",,099795 56949,,4.7,cafe,,gandhinagar,gujarat,"Doubledaker, Sector 24"
The Rubiaceae Coffee Brewers,"218, Pramukh Corporate, PDPU Rd, Raysan, 382006",,073832 70863,,4.5,cafe,,gandhinagar,gujarat,"218, Pramukh Corporate"
Cheesy Crazy Cafe,"218, Pramukh Corporate, PDPU Rd, Raysan, 382006",,073832 70863,,4.5,cafe,,gandhinagar,gujarat,"218, Pramukh Corporate"
The Purple heart Lounge,"522 , 5th floor, Block-C Pramukh Mastana, near, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",purpleheart.co.in,097373 71738,,4.8,cafe,,gandhinagar,gujarat,"522 , 5th floor"
Literature Coffee,"First Floor Shop no: 113 & 116, Elixir Prime Business Hub, PDPU Rd, opp. Shree Rang Upvan Bunglows, Raysan, Gujarat 382007",,098795 75441,,4.8,cafe,,gandhinagar,gujarat,"First Floor Shop no: 113 & 116, Elixir Prime Business Hub"
Shiva's Coffee Bar - Pramukh Arcade,"First Floor Shop no: 113 & 116, Elixir Prime Business Hub, PDPU Rd, opp. Shree Rang Upvan Bunglows, Raysan, Gujarat 382007",,098795 75441,,4.8,cafe,,gandhinagar,gujarat,"First Floor Shop no: 113 & 116, Elixir Prime Business Hub"
On the Rocks Cafe,"Shop No.6, Shopping Centre, Sector 9, Gandhinagar, Gujarat 382009",,,,4.2,cafe,,gandhinagar,gujarat,"Shop No.6, Shopping Centre"
The Bean Room,"The Landmark, B - 20, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 372421",tbrcafe.in,094017 63737,,4.9,cafe,,gandhinagar,gujarat,"The Landmark, B - 20"
Shiva's Coffee Bar (Sargasan),"The Landmark, B - 20, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 372421",tbrcafe.in,094017 63737,,4.9,cafe,,gandhinagar,gujarat,"The Landmark, B - 20"
Shiva's Coffee Bar,"Shop No. 38, Super Mall-1, Infocity Road, Infocity, Gandhinagar, Gujarat 382007",shivascoffeebar.com,076001 16475,,4.0,cafe,,gandhinagar,gujarat,"Shop No. 38, Super Mall-1"
BETTER BEANS,"near trupti ice cream, opp. to franky station, Sector 16, Gandhinagar, Gujarat 382016",,075181 81849,,4.5,cafe,,gandhinagar,gujarat,"near trupti ice cream, opp. to franky station"
Chai Garam - Pocket Café,"VRUNDAVAN TRADE CENTER, B13, nr. Reliance Cross Road, opposite Kanam Party Plot, Kudasan, Gandhinagar, Gujarat 382419",instagram.com,079909 48849,,4.9,cafe,,gandhinagar,gujarat,"VRUNDAVAN TRADE CENTER, B13"
Koffee Plus Plus,"Ken's Koffee Plus Plus, Food Court # 6, DA-IICT Gandhinagar-Ahmedabad Road, Near, Indroda Cir, Infocity, Gandhinagar, Gujarat 382007",,087586 37933,,4.1,cafe,,gandhinagar,gujarat,"Ken's Koffee Plus Plus, Food Court # 6"
Cafe Cawfee Tawk,"Shop no. 1,2,3, Kanam Residency 2, near VTC Complex, Kudasan, Gandhinagar, Gujarat 382419",,099099 81530,,4.3,cafe,,gandhinagar,gujarat,"Shop no. 1,2"
Lord's Sector 16 Gandhinagar,"Plot no.443, Sector 16, Gandhinagar, Gujarat 382016",,,,4.9,cafe,,gandhinagar,gujarat,"Plot no.443, Sector 16"
Chai G,"A-37,38, Pramukh Arcade, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382041",chaig.in,072270 01296,,4.2,cafe,,gandhinagar,gujarat,"A-37,38"
"Shiva's Coffee Bar and Snacks, Sector-25","golden arcade, Sr no 1, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016",,094099 26090,,4.5,cafe,,gandhinagar,gujarat,"golden arcade, Sr no 1"
Abhi'S cafe,"golden arcade, Sr no 1, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016",,094099 26090,,4.5,cafe,,gandhinagar,gujarat,"golden arcade, Sr no 1"
The Lifafa Cafe & Restro,"Shop No 15, Keshav Aaradhyam, Prominent Hotel Rd, Kudasan, Gandhinagar, Gujarat 382419",,094275 07273,,4.6,cafe,,gandhinagar,gujarat,"Shop No 15, Keshav Aaradhyam"
Madhur Cafe,"6JWJ+GVQ, K Rd, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016",,,,3.9,cafe,,gandhinagar,gujarat,"6JWJ+GVQ, K Rd"
Zorko Gandhinagar,"6JWJ+GVQ, K Rd, GIDC Electronic Estate, Sector 25, Gandhinagar, Gujarat 382016",,,,3.9,cafe,,gandhinagar,gujarat,"6JWJ+GVQ, K Rd"
THE LOVE LOCK CAFE,"Pramukh Mastana Complex, B/41, CIRCLE, near Reliance Communications Tower, Kudasan, Gandhinagar, Gujarat 382419",,,,4.7,cafe,,gandhinagar,gujarat,"Pramukh Mastana Complex, B/41"
Cafe Offbeat - Gandhinagar,"Elixir , PDPU, Raysan Rd, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382007",,081044 19033,,4.1,cafe,,gandhinagar,gujarat,"Elixir , PDPU"
ZORKO INOX GANDHINAGAR,"Shop no. 12, R world 16, plot 400, Sector 16, Gandhinagar, Gujarat 382016",,,,4.7,cafe,,gandhinagar,gujarat,"Shop no. 12, R world 16"
karma Cafe Gandhinagar,"Shop no. 12, R world 16, plot 400, Sector 16, Gandhinagar, Gujarat 382016",,,,4.7,cafe,,gandhinagar,gujarat,"Shop no. 12, R world 16"
Rustic Rays,"B-201,202,203, The Landmark, Kudasan, Gandhinagar, Gujarat 382419",,088669 92270,,4.5,cafe,,gandhinagar,gujarat,"B-201,202"
The Back Benchers Cafe,"Sector 16, Gandhinagar, Gujarat 382016",,,,4.5,cafe,,gandhinagar,gujarat,"Sector 16, Gandhinagar"
Day Night Point Cafe,"Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",,,,5.0,cafe,,gandhinagar,gujarat,"Sho No 74 block No C Pramukh Mastana complex, Reliance Cross Rd"
Karan Go Insta Cafe,"103, 1st Floor, Anexi mall GH-0, Circle, Gujarat 382007",,092653 80880,,4.5,cafe,,gandhinagar,gujarat,"103, 1st Floor"
Shambhu's Coffee Bar,"GROUND FLOOR. SHOP NO. 40, SUPER MALL-2, Infocity, Gandhinagar, Gujarat 382010",,063532 42712,,4.5,cafe,,gandhinagar,gujarat,"GROUND FLOOR. SHOP NO. 40, SUPER MALL-2"
The House of Makeba - Pure Veg Family Dining Restaurant in Gandhinagar,"Radhe Infinity, 105/106, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426",thehouseofmakeba.com,087801 41564,,4.5,cafe,,gandhinagar,gujarat,"Radhe Infinity, 105/106"
2 degree cafe,"Radhe Infinity, 105/106, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426",thehouseofmakeba.com,087801 41564,,4.5,cafe,,gandhinagar,gujarat,"Radhe Infinity, 105/106"
The Royal Egg Cafe,"Brunch Park Ni Baju Ma, Atria Business Hub, Bank Of Baroda Ni Pachhad, B-29, Sargasan Cross Rd, Gandhinagar, Gujarat 382419",,090230 27607,,3.6,cafe,,gandhinagar,gujarat,"Brunch Park Ni Baju Ma, Atria Business Hub"
Helly and chilly cafe gandhinagar,"orbit mall, 122, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",,076229 72667,,5.0,cafe,,gandhinagar,gujarat,"orbit mall, 122"
Cilantro's Global Cuisine Restaurant,"315, The Urbania Complex, Palm Rd, Kudasan, Gandhinagar, Gujarat 382419",cilantros.in,091040 83535,,4.7,cafe,,gandhinagar,gujarat,"315, The Urbania Complex"
"Chai G, Civil","Shop No. 5, Micro Shopping Center Civil Hospital Compound, Sector 12B, Gandhinagar, Gujarat 382016",chaig.in,072270 01297,,4.1,cafe,,gandhinagar,gujarat,"Shop No. 5, Micro Shopping Center Civil Hospital Compound"
Shiv Cold Cafe & Har Har Bhole Lassi,"Abhishek Complex, opp. Hotel Hawally, Sector 11, Gandhinagar, Gujarat 382011",,090675 73449,,4.9,cafe,,gandhinagar,gujarat,"Abhishek Complex, opp. Hotel Hawally"
