name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Size Zero Roof Top Lounge,"Plot No. 348, Samarath Plaza Chandra Park, 150 Feet Ring Rd, opposite Reliance Mall, Rajkot, Gujarat 360005",sizezerocafe.com,090545 45671,,4.2,cafe,,rajkot,gujarat,"Plot No. 348, Samarath Plaza Chandra Park"
Tea Post - The Desi Cafe,"Drive in Cinema, Rajkot Rd, Sadguru Nagar, Vajdi, Gujarat 360005",teapost.in,095123 38080,,4.4,cafe,,rajkot,gujarat,"Drive in Cinema, Rajkot Rd"
House of Size Zero,"Republic Hotel, Akshar Marg, Near Krunchy, Gujarat Housing Board, Kotecha Nagar, Rajkot, Gujarat 360001",sizezerocafe.com,090161 39750,,4.2,cafe,,rajkot,gujarat,"Republic Hotel, Akshar Marg"
Nescafe - Best Cafe in Rajkot,"Shop No 2, Cresent Apartment, Race Course Rd, Jagnath Plot, Rajkot, Gujarat 360001",,,,4.4,cafe,,rajkot,gujarat,"Shop No 2, Cresent Apartment"
Teacher's Cafe | Best Sandwich in Rajkot | Best Burger in Rajkot | Best Shakes in Rajkot | Hygienic Place to eat in Rajkot,"Govindratna chowk, millenium road, nr. Nana mava, Padmi Society, Nana Mava, Rajkot, Gujarat 360005",,082006 27391,,4.9,cafe,,rajkot,gujarat,"Govindratna chowk, millenium road"
The Nirvana Cafe,"Nyari Dam Rd, beside Green Fuel hotel, Rajkot, Vajdi, Gujarat 360005",,090337 73339,,4.6,cafe,,rajkot,gujarat,"Nyari Dam Rd, beside Green Fuel hotel"
SKYLIGHT CAFE RAJKOT,"Atlanta Rd, Kalavad Rd, opp. Drive in Cinema, near Govind Ashram, Vajdi, Gujarat 360005",,098989 22501,,4.4,cafe,,rajkot,gujarat,"Atlanta Rd, Kalavad Rd"
Adari the cafe' / Best Cafe / Coffee Shop / Tea Shop / Fast Food Place in Rajkot,"7QXG+79R, Nirmala main road, opp. icici bank, near hanuman madhi chowk, Tirupati Nagar, Rajkot, Gujarat 360007",adarithecafe.site,084600 51200,,4.8,cafe,,rajkot,gujarat,"7QXG+79R, Nirmala main road"
Talkhouse Caffe,"The One World, A-8/9, 150 Feet Ring Rd, nr. Ayodhya Chowk, Vasundhara Omkar Society, Manharpura 1, Madhapar, Rajkot, Gujarat 360006",,099787 12340,,4.7,cafe,,rajkot,gujarat,"The One World, A-8/9"
The Street Cafe,"Behind patel ice cream vithal apartment, Race Course Rd, Rajkot, Gujarat 360001",,099046 44028,,4.5,cafe,,rajkot,gujarat,"Behind patel ice cream vithal apartment, Race Course Rd"
Cha Vala Cafe,"Shop No. : 5, Aavishkar Appartment, Race Course Rd, beside Big Bite Restaurant, Race Course, Sadar, Rajkot, Gujarat 360001",chavala.in,098980 18185,,4.5,cafe,,rajkot,gujarat,"Shop No. : 5, Aavishkar Appartment"
Hot and crusty cafe,"RPJ hotel, Kalavad Rd, near everest park, Nana Mava, Rajkot, Gujarat 360005",hotandcrusty.in,081538 47777,,4.6,cafe,,rajkot,gujarat,"RPJ hotel, Kalavad Rd"
Cafe Bia,"Ruby Park, Atlanta Road, Kalavad Rd, opposite Drive in Cinema, Rajkot, Gujarat 360005",,095102 94001,,4.2,cafe,,rajkot,gujarat,"Ruby Park, Atlanta Road"
First Date Cafe,"Avadh Road, Off Kalavad Road Near Elegance Party Plot, Rajkot, Gujarat 360005",,080009 30003,,4.0,cafe,,rajkot,gujarat,"Avadh Road, Off Kalavad Road Near Elegance Party Plot"
The Second Wife Restro and Cafe,"New 150 Feet Ring Road, Near Munjka Chokdi, Near, Kalawad Road, opposite Delight Party Plot, Rajkot, Gujarat 360005",,090990 98828,,4.2,cafe,,rajkot,gujarat,"New 150 Feet Ring Road, Near Munjka Chokdi"
Tea Station Cafe,"Tea Station Cafe, Shanti Hights, Shop No.-5 Akashwani Chowk, University Rd, Rajkot, Gujarat 360005",facebook.com,091194 47733,,4.2,cafe,,rajkot,gujarat,"Tea Station Cafe, Shanti Hights"
Coffee Culture - The Ristorante Lounge,"1st floor kuber kashtbhanjan, near Giriraj Hospital, 150 Feet Ring Rd, Rajkot, Gujarat 360006",,088669 51719,,4.0,cafe,,rajkot,gujarat,"1st floor kuber kashtbhanjan, near Giriraj Hospital"
Retro Cafe,"Off, Kalavad Rd, Rajkot, Gujarat 360005",,,,4.3,cafe,,rajkot,gujarat,"Off, Kalavad Rd"
Tea Post,"Cresenet - A, near Race Course Road, near A.G. Office, Jagnath Plot, Rajkot, Gujarat 360002",teapost.in,081608 38792,,4.3,cafe,,rajkot,gujarat,"Cresenet - A, near Race Course Road"
CAFE 1779,"pragati complex shop no 15 near giriraj hospital, 150 Feet Ring Rd, Rajkot, Gujarat 360005",,096871 11779,,4.8,cafe,,rajkot,gujarat,"pragati complex shop no 15 near giriraj hospital, 150 Feet Ring Rd"
Cafe LPL,"Kalavad Rd, near sanjha chula restaurant, Rajkot, Gujarat 360005",,099788 68667,,4.2,cafe,,rajkot,gujarat,"Kalavad Rd, near sanjha chula restaurant"
Nyari Hills Cafe,"Kalawad Road Nyari Dam Road, Virda Vajdi, near Petrol Pump, Rajkot, Gujarat 360021",,099888 00999,,4.3,cafe,,rajkot,gujarat,"Kalawad Road Nyari Dam Road, Virda Vajdi"
CENTRAL PERK CAFE RAJKOT,"Jay Sardar Rd, opposite Haveli apartment, Chandra Park, Rajkot, Gujarat 360005",,074360 77778,,4.5,cafe,,rajkot,gujarat,"Jay Sardar Rd, opposite Haveli apartment"
Cozy Cafe,"Kalavad Rd, opp. Atmiya College, Shakti Nagar, Rajkot, Gujarat 360005",,,,4.2,cafe,,rajkot,gujarat,"Kalavad Rd, opp. Atmiya College"
TeaStreet,"Opposite Cosmocomplex, near Mahila College, Underbridge, Rajkot, Gujarat 360006",,099989 56556,,4.1,cafe,,rajkot,gujarat,"Opposite Cosmocomplex, near Mahila College"
Cafe de den,"Dwarkesh, Opp.makkam motors, 80 feet road, Gondal Rd, behind sell petrol pump, Rajkot, Gujarat 360002",cafededen.com,099984 66802,,4.5,cafe,,rajkot,gujarat,"Dwarkesh, Opp.makkam motors"
Friends & Cafe,"150 Feet Ring Rd, Besides Lijjat Pappad, near Ramapir Chowkdi, Shastri Nagar, Rajkot, Gujarat 360007",,088492 61213,,4.6,cafe,,rajkot,gujarat,"150 Feet Ring Rd, Besides Lijjat Pappad"
Cha Vala The Drive in Cafe,"Near Khandheri Cricket Stadium, Jamnagar - Rajkot Hwy, Naranka, Gujarat 360110",chavala.in,098980 18185,,4.3,cafe,,rajkot,gujarat,"Near Khandheri Cricket Stadium, Jamnagar - Rajkot Hwy"
GROOVY CAFE RAJKOT,"Second floor, Reliance mall, 150 Feet Ring Rd, Karan Park, Rajkot, Gujarat 360005",,093165 00343,,4.7,cafe,,rajkot,gujarat,"Second floor, Reliance mall"
Saraza | Best Banquet Hall & Restaurant in Rajkot,"Saraza, Kalavad Rd, opp. Cosmoplex Cinema, Rajkot, Gujarat 360005",saraza.in,072728 72727,,4.3,cafe,,rajkot,gujarat,"Saraza, Kalavad Rd"
Inner Circle - 24 hours Coffee Shop,"RAM, Dr Yagnik Rd, opp. JOHAR CARD, nr. JAI SIYA, Jheelwas, Sadar, Rajkot, Gujarat 360001",linktr.ee,0281 247 3000,,4.6,cafe,,rajkot,gujarat,"RAM, Dr Yagnik Rd"
Coffee Stand,"Ball box arena, Kalavad Rd, behind cosmoplex cinema, near katariya chokdi, Mota Mava, Rajkot, Gujarat 360005",instagram.com,096896 62062,,4.4,cafe,,rajkot,gujarat,"Ball box arena, Kalavad Rd"
GreenBelly Smoothies,"Greenbelly Smoothies And More, Vrindavan Society Main Rd, near Mokaji Circle, Nana Mava, Rajkot, Gujarat 360005",greenbellysmoothies.com,084859 00737,,4.4,cafe,,rajkot,gujarat,"Greenbelly Smoothies And More, Vrindavan Society Main Rd"
Senso - 24 Hours Coffee Shop,"Imperial Palace Hotel, Dr Yagnik Rd, Rajkot, Gujarat 360001",,0281 248 0000,,4.3,cafe,,rajkot,gujarat,"Imperial Palace Hotel, Dr Yagnik Rd"
Global Tea Cafe Rajkot,"Shop no 3, Shraddha hospital, near by Indira Circle, Golden Park, Rajkot, Gujarat 360005",globalteacafe.com,,,4.7,cafe,,rajkot,gujarat,"Shop no 3, Shraddha hospital"
Café Coffee Day,"Plaza Shop, No, 8 & 9, Race Course Rd, Race Course, Sadar, Rajkot, Gujarat 360001",sadar.cafecoffeeday.com,1800 102 5093,,3.8,cafe,,rajkot,gujarat,"Plaza Shop, No"
Nescafé,"The One World, B1, 150 Feet Ring Rd, nr. Ayodhya Chowk, Vasundhara Omkar Society, Manharpura 1, Madhapar, Rajkot, Gujarat 360006",link.zomato.com,097377 70990,,4.3,cafe,,rajkot,gujarat,"The One World, B1"
JBee's - Coffee/Donuts,"Omkar Complex, Nirmala Convent Rd, Opp. Nirmala Convent School, Rajkot, Gujarat 360007",,090330 33027,,4.3,cafe,,rajkot,gujarat,"Omkar Complex, Nirmala Convent Rd"
Jerry's Cafe,"Ground Floor, Sadguru Complex, Kkv Chowk, Kalavad Rd, Rajkot, Gujarat 360005",,,,4.6,cafe,,rajkot,gujarat,"Ground Floor, Sadguru Complex"
Garam Giggles Rooftop Cafe,"Marasa Sarovar Portico, Dr Rajendra Prasad Rd, Limda Chowk, Gavliwad, Rajkot, Gujarat 360001",sarovarhotels.com,099789 69672,,4.5,cafe,,rajkot,gujarat,"Marasa Sarovar Portico, Dr Rajendra Prasad Rd"
Kafenity - Sip Into Eternity Cafe & Restaurant,"Gate No. 6, New, 150 Feet Ring Rd, opp. Atal Sarovar, near The View & Silver IT Park, Rajkot, Vajdi Gadh, Gujarat 360006",,081405 81404,,4.5,cafe,,rajkot,gujarat,"Gate No. 6, New"
Zorko Cafe Rajkot ( Das Cafe ),"shop no.21, savan signite complex, Raiya Rd, opposite tulsi super market, Radhika Park, Rajkot, Gujarat 360007",zorko.in,,,4.8,cafe,,rajkot,gujarat,"shop no.21, savan signite complex"
OC Cafe,"A , Shop, The One World, Street Number 5, near Ayodhya Chowk, Manharpura 1, Madhapar, Rajkot, Gujarat 360006",,090337 79777,,4.9,cafe,,rajkot,gujarat,"A , Shop"
2 way Restro & Cafe,"GHANTESWAR - JAMANGAR ROAD TO KALWAD ROAD NEW BYPASS 150 FIT NEW, Race Course Rd, Rajkot, Gujarat 360006",,,,4.2,cafe,,rajkot,gujarat,"GHANTESWAR - JAMANGAR ROAD TO KALWAD ROAD NEW BYPASS 150 FIT NEW, Race Course Rd"
Hathi Masala | Cafe | A masaledar Affair,"Ground Floor, THE MILLENNIUM, Shop No. 5, Circle, 150 Feet Ring Rd, opposite Twinstar Building, Nana Mava, Rajkot, Gujarat 360005",hathimasala.com,095124 69999,,5.0,cafe,,rajkot,gujarat,"Ground Floor, THE MILLENNIUM"
THE SECRET BITE,"150 Feet Ring Rd, beside NAGRIK BANK, opp. WEST GATE, Near Raiya Circle, Kidwai Nagar Society, Rajkot, Gujarat 360005",,,,4.8,cafe,,rajkot,gujarat,"150 Feet Ring Rd, beside NAGRIK BANK"
Dark 'n' Safe Cafe & Restaurant,"Behind Patel Ice Cream Vithal Apartment, Race Course Rd, Rajkot, Gujarat 360001",,,,4.4,cafe,,rajkot,gujarat,"Behind Patel Ice Cream Vithal Apartment, Race Course Rd"
"AJAY’S CAFÉ YAGNIK ROAD, RAJKOT","Dr Yagnik Rd, opposite DH College Ground, Jagnath Plot, Rajkot, Gujarat 360001",ajays.co.in,,,4.8,cafe,,rajkot,gujarat,"Dr Yagnik Rd, opposite DH College Ground"
Angel Madras Cafe(R),"Ground Floor, Meet Complex, Akshar Marg, near Harihar Society, Gujarat Housing Board, Kotecha Nagar, Rajkot, Gujarat 360001",,095100 06108,,4.3,cafe,,rajkot,gujarat,"Ground Floor, Meet Complex"
Saraza - Bakery & Cafe | Raiya Road,"Ground Floor, Savan Serena, Raiya Rd, nr. Pramukhswami auditorium, Rajkot, Gujarat 360007",saraza.in,080856 88585,,4.1,cafe,,rajkot,gujarat,"Ground Floor, Savan Serena"
A GOURMESSERIE - RAJKOT,"Aditya One Corporate Park, Kalavad Rd, opp. Iskon Temple, Rajkot, Gujarat 360005",agourmesserie.com,097251 91918,,4.3,cafe,,rajkot,gujarat,"Aditya One Corporate Park, Kalavad Rd"
Meraki Cafe - Danny’s Coffee Bar,"B/h, RPJ Hotel, Ground Floor, Rivera Wave, 2 Nr. McDonalds, Kalavad Rd, Ravipark Society, Rajkot, Gujarat 360007",,084603 83800,,4.3,cafe,,rajkot,gujarat,"B/h, RPJ Hotel"
THE IMPERIA,"7QWX+HW2, THE IMPERIA CAFE, AT TERRACE THE IMPERIA, NR. HARMONY HOTEL, Limda Chowk, Rajkot, Gujarat 360001",,,,4.5,cafe,,rajkot,gujarat,"7QWX+HW2, THE IMPERIA CAFE"
Devi Madras Cafe,"Oscar Plaza, Sadhu Vasvani Rd, Vishwakarma Society, Janak Puri, Yogi Nagar, Rajkot, Gujarat 360005",,098982 04947,,4.3,cafe,,rajkot,gujarat,"Oscar Plaza, Sadhu Vasvani Rd"
Dough & Doppio,"Krish Complex, Near, Astron Society Main Rd, behind Rudraksh Apartment, Madhur Nagar, Rajkot, Gujarat 360001",doughanddoppio.com,097234 29797,,4.5,cafe,,rajkot,gujarat,"Krish Complex, Near"
Tea Post,"Ground Floor, Plot, 3, Akshar Marg, opposite Angel Madras Cafe, Harihar Society, Rajkot, Gujarat 360001",teapost.in,078618 81340,,4.1,cafe,,rajkot,gujarat,"Ground Floor, Plot"
ovens ‘N’ platters,"Shop no. 5, Nana Mava Main Rd, near Amritsari Hatti, Nana Mava, Rajkot, Gujarat 360005",instagram.com,085112 10816,,4.1,cafe,,rajkot,gujarat,"Shop no. 5, Nana Mava Main Rd"
Mug Magic Cafe & Food,"Tagore Rd, nr. virani chowk, Ram Krishna Nagar, Rama Krishan Nagar, Rajkot, Gujarat 360002",,074359 78827,,4.9,cafe,,rajkot,gujarat,"Tagore Rd, nr. virani chowk"
TEA MAX CAFE RAJKOT,"Oppo Karan, Classic Hub, Arjun Party Plotes, New 150Ft Ring Road, Mota Mava, Rajkot, Gujarat 360005",,097384 11111,,4.3,cafe,,rajkot,gujarat,"Oppo Karan, Classic Hub"
Tea Post,"The One World, Ground Floor, Shop no. 1 & 2, 150 Feet Ring Rd, Vasundhara Omkar Society, Manharpura 1, Madhapar, Rajkot, Gujarat 360006",teapost.in,089807 53160,,4.2,cafe,,rajkot,gujarat,"The One World, Ground Floor"
The Waffling Station,"7QRR+G62, Homi dastur road Off Yagnik Road, Dr Dastur Marg, Rama Krishan Nagar, Rajkot, Gujarat 360001",instagram.com,070162 36323,,4.2,cafe,,rajkot,gujarat,"7QRR+G62, Homi dastur road Off Yagnik Road"
LORDS BANQUET RESTAURANT,"Ground floor, Opp. Sargam foods, Kasturba Rd, Opp Temptation, Kashivishwanath Plot, Sadar, Rajkot, Gujarat 360002",lordsbanquetrestaurant.shop,0281 244 4486,,4.2,cafe,,rajkot,gujarat,"Ground floor, Opp. Sargam foods"
Tealogy cafe 4.0,"Akshar Marg, near swaminarayan temple, Harihar Society, Gujarat Housing Board, Kotecha Nagar, Rajkot, Gujarat 360005",,,,5.0,cafe,,rajkot,gujarat,"Akshar Marg, near swaminarayan temple"
Sanskrutea Cafe,"Yogi Anand, Street No.9, Kasturba Rd, Kashivishwanath Plot, Sadar, Rajkot, Gujarat 360001",,,,4.1,cafe,,rajkot,gujarat,"Yogi Anand, Street No.9"
Bizz The Hotel,"Bizz The Hotel, Dr Yagnik Rd, Jagnath Plot, Rajkot, Gujarat 360001",bizzhotel.in,,,4.4,cafe,,rajkot,gujarat,"Bizz The Hotel, Dr Yagnik Rd"
Tea Post,"Siddhi Vinayak Complex, Subhash Road, Limda Chowk, Sadar, Rajkot, Gujarat 364730",teapost.in,097149 49065,,4.2,cafe,,rajkot,gujarat,"Siddhi Vinayak Complex, Subhash Road"
Shree Star Cafe,"Shop No 722, Star Chamber, Harihar Chowk, Rajkot, Gujarat 360001",,098269 86058,,3.8,cafe,,rajkot,gujarat,"Shop No 722, Star Chamber"
Helly & Chilly Cafe | Rajkot | Shayonam Foods,"SHOP NO.31, HELLY AND CHILLY FOODS PVT LTD, WEST GATE, 150 Feet Ring Rd, opp. RAJKOT NAGARIK SAHAKARI BANK, Near Raiya Circle, Tirupati Nagar, Rajkot, Gujarat 360007",,,,4.9,cafe,,rajkot,gujarat,"SHOP NO.31, HELLY AND CHILLY FOODS PVT LTD"
Bake N Beans,"Shop 18 & 19, RK WORLD TOWER, 150 Feet Ring Rd, near Shital Park, BRTS, Dharam Nagar Society, Rajkot, Gujarat 360007",bakenbeanscafe.com,087809 51120,,4.9,cafe,,rajkot,gujarat,"Shop 18 & 19, RK WORLD TOWER"
Dhruv Star Cafe Rajkot,"8PMH+8VM, Vardhman Nagar, Rajkot, Gujarat 360001",,,,4.2,cafe,,rajkot,gujarat,"8PMH+8VM, Vardhman Nagar"
Twisted Tastes,"Neptune Tower, Opp. Jalaram Petrol Pump, Kirti Nagar, Rajkot, Gujarat 360007",,099797 42542,,4.9,cafe,,rajkot,gujarat,"Neptune Tower, Opp. Jalaram Petrol Pump"
Patel Vihar Restaurant ( PVR ) - Kathiyawadi Gujarati Food Restaurant in Rajkot | Best Vegetarian Restaurant in Rajkot,"Merit Complex Ground Floor, University Main Road, Near Kotecha Chowk, Rajkot, Gujarat 360005",patelvihar.com,098985 75371,,4.1,cafe,,rajkot,gujarat,"Merit Complex Ground Floor, University Main Road"
Chef Fatso - The Café,"Kalavad Rd, Rajkot, Gujarat 360005",,,,3.9,cafe,,rajkot,gujarat,"Kalavad Rd, Rajkot"
The Blue Oven,"Opp Swaminarayan Temple, near Krunchy Republic M-48, Gujarat Housing Board, Akshar Marg, Somya, Rajkot, Gujarat 360001",,085115 00576,,4.2,cafe,,rajkot,gujarat,"Opp Swaminarayan Temple, near Krunchy Republic M-48"
GANIBHAI MADRAS CAFE (JAMINBHAI),"Tagor Nagar, Nutan Nagar, Kotecha Nagar, Rajkot, Gujarat 360001",,094085 52880,,4.5,cafe,,rajkot,gujarat,"Tagor Nagar, Nutan Nagar"
Taste town,"Dr Yagnik Rd, Jagnath Plot, Rajkot, Gujarat 360001",,,,4.7,cafe,,rajkot,gujarat,"Dr Yagnik Rd, Jagnath Plot"
Giriraj Multi Cuisine Restaurant,"Mota Mava, Rajkot, Gujarat 360005",,090999 25325,,3.9,cafe,,rajkot,gujarat,"Mota Mava, Rajkot"
Huber & Holly (Rajkot),"Shop No. 1 & 2, Pride Empire, Race Course Rd, Sadar, Rajkot, Gujarat 360001",huberandholly.com,085111 41944,,4.3,cafe,,rajkot,gujarat,"Shop No. 1 & 2, Pride Empire"
"Tapri Cafe, Rajkot","Shop No.1, Gita Apartment, 25, Astron Road, opp. Unique Hospital, Sardarnagar, Rajkot, Gujarat 360001",,,,2.3,cafe,,rajkot,gujarat,"Shop No.1, Gita Apartment"
GANI BHAI MADRAS CAFE,"Omkar Complex, 11, opp. Nirmala School, Rajkot, Gujarat 360007",,098792 40392,,4.7,cafe,,rajkot,gujarat,"Omkar Complex, 11"
The Sloth Coffee,"Raiya Rd, Dhruv Nagar, Shaw Nagar, Rajkot, Gujarat 360004",,080009 09526,,3.5,cafe,,rajkot,gujarat,"Raiya Rd, Dhruv Nagar"
Tea Post,"Shop No. 1, Kim Plaza, G/F, Raiya Rd, Near Hanuman Madhi, Mangal Park, Nagrik Bank Society, Gulab Nagar, Rajkot, Gujarat 360007",teapost.in,092770 00077,,4.4,cafe,,rajkot,gujarat,"Shop No. 1, Kim Plaza"
"9834 The Fruit Window, Rajkot (Race Course)","Shop no. 2, Empire Building, beside Big Bite, Race Course, Sadar, Rajkot, Gujarat 360001",9834thefruittruck.com,095583 59834,,4.4,cafe,,rajkot,gujarat,"Shop no. 2, Empire Building"
Bliss Eatery,"Bliss Eatery, City Square-101, opp. Astron Under Bridge, nr. Vikas Pharmacy, Gujarat Housing Board, Kotecha Nagar, Rajkot, Gujarat 360001",instagram.com,070709 72729,,4.7,cafe,,rajkot,gujarat,"Bliss Eatery, City Square-101"
TEA TIME CAFE,"7QWW+HFW, Moti Tanki Chowk, Panchnath Plot, Sadar, Rajkot, Gujarat 360001",,,,5.0,cafe,,rajkot,gujarat,"7QWW+HFW, Moti Tanki Chowk"
Tea Villa Cafe Manage by Hilla F&B,"Plot no. 1,2,13 & 14, Ashopalav park, Nr. Drive in cinema, Kalavad road Virada Vajdi, Dist, Rajkot, Gujarat 360005",,,,4.4,cafe,,rajkot,gujarat,"Plot no. 1,2"
Downtown Cafe,"8R32+HV3, Sadar, Rajkot, Gujarat 360001",,,,,cafe,,rajkot,gujarat,"8R32+HV3, Sadar"
Gustos Pizzeria,"Kalavad Rd, opp. Iskon Mandir, Rajkot, Gujarat 360005",gustospizzeria.in,075678 91231,,4.7,cafe,,rajkot,gujarat,"Kalavad Rd, opp. Iskon Mandir"
Saraza - Bakery & Cafe | Speedwell Road,"Field Marshal Rd, near Speedwell Party Plot, opp. HDFC Bank, Mota Mava, Rajkot, Gujarat 360005",saraza.in,097121 12136,,4.2,cafe,,rajkot,gujarat,"Field Marshal Rd, near Speedwell Party Plot"
Jafar Tea (Aradhana Tea),"7QXJ+P86, Raiya Rd, Nehru Nagar, Rajkot, Gujarat 360007",,093276 32375,,4.2,cafe,,rajkot,gujarat,"7QXJ+P86, Raiya Rd"
Basil Valley Cafe,"Kalavad Rd, opp. Rangoli Park, near Grace College, Mota Mava, Rajkot, Gujarat 360005",,,,4.2,cafe,,rajkot,gujarat,"Kalavad Rd, opp. Rangoli Park"
Desi thatharo cafe,"Bombay Super Mall, Kuvadava Rd, next to D Mart, near Ranchoddas Ashram, Vrundavan Society, Rohidaspra, Rajkot, Gujarat 360003",,,,5.0,cafe,,rajkot,gujarat,"Bombay Super Mall, Kuvadava Rd"
"The Fern Residency, Rajkot","Kuvadava Rd, near Deluxe Cinema Chowk, Ranchhod Nagar, Rajkot, Gujarat 360003",fernhotels.com,0281 711 1111,,4.3,cafe,,rajkot,gujarat,"Kuvadava Rd, near Deluxe Cinema Chowk"
Sunrise Cafe,"Sunshine Plaza, 101, Dr Yagnik Rd, near Green Park, Rajputpara, Rajkot, Gujarat 360001",,,,,cafe,,rajkot,gujarat,"Sunshine Plaza, 101"
Bizz The Hotel,"Dr Yagnik Rd, Street Number 2, opp. Snitch Store, Jagnath Plot, Rajkot, Gujarat 360001",bizzhotel.in,095124 73000,,5.0,cafe,,rajkot,gujarat,"Dr Yagnik Rd, Street Number 2"
The Grand Thakar Restaurant,"8R22+RVG, Jawahar Rd, opp. Jubilee Road, Lohana Para, Rajkot, Gujarat 360001",hotelthakar.com,096871 89099,,4.3,cafe,,rajkot,gujarat,"8R22+RVG, Jawahar Rd"
Shree Khodiyar Tea Stall & pan,"Sadar Bazar, Sadar, Rajkot, Gujarat 360001",,098242 85357,,4.2,cafe,,rajkot,gujarat,"Sadar Bazar, Sadar"
ASHAPURA Tea & Coffee,"8R62+CWQ, Junction Plot, Rajkot, Gujarat 360001",,,,4.5,cafe,,rajkot,gujarat,"8R62+CWQ, Junction Plot"
Milan madras cafe,"Chwok, Jam Tower, Chwok, Main Rd, Sadar, Rajkot, Gujarat 360001",,097148 24240,,5.0,cafe,,rajkot,gujarat,"Chwok, Jam Tower"
Laxmi Madras Cafe,"Jamnagar - Rajkot Hwy, Sadar, Rajkot, Gujarat 360001",,088664 11691,,5.0,cafe,,rajkot,gujarat,"Jamnagar - Rajkot Hwy, Sadar"
Thakkar Lassi,"7QQV+V84, Dr Yagnik Rd, Ram Krishna Nagar, Rama Krishan Nagar, Rajkot, Gujarat 360002",,,,4.0,cafe,,rajkot,gujarat,"7QQV+V84, Dr Yagnik Rd"
Shiv Ice Cream and Fast Food,"Complex, Bhusan, Ground Floor, 7, Race Course Rd, Near Petrol Pump, Astron Chowk, Race Course, Sardarnagar, Rajkot, Gujarat 360001",,072288 88841,,4.1,cafe,,rajkot,gujarat,"Complex, Bhusan"
Simron di balle balle,"8Q4P+PW2, Airport Main Rd, Race Course, Sadar, Rajkot, Gujarat 360001",,,,4.3,cafe,,rajkot,gujarat,"8Q4P+PW2, Airport Main Rd"
Jay Ambe Tea,"7RR3+F4X, Bhupendra Road, Karanpara, Rajkot, Gujarat 360001",,,,4.0,cafe,,rajkot,gujarat,"7RR3+F4X, Bhupendra Road"
Rajkot famous restaurant,"8R32+HV3, Sadar, Rajkot, Gujarat 360001",,,,,cafe,,rajkot,gujarat,"8R32+HV3, Sadar"
Anna Madras Cafe,"Malaviya Chowk, Rajputpara, Rajkot, Gujarat 360002",,099255 64665,,3.6,cafe,,rajkot,gujarat,"Malaviya Chowk, Rajputpara"
Gayatri Madras Cafe,"Railway Station Rd, Junction Plot, Rajkot, Gujarat 360001",,,,4.8,cafe,,rajkot,gujarat,"Railway Station Rd, Junction Plot"
HYGREEV,"The Imperia, Limda Chowk, Panchnath Plot, Sadar, Rajkot, Gujarat 360001",hygreev.in,,,,cafe,,rajkot,gujarat,"The Imperia, Limda Chowk"
Pankaj Restaurant,"MG Road Opposite Girnar Cinema, Fullchhab Chowk, Rajkot, Gujarat 360001",,097145 55546,,3.9,cafe,,rajkot,gujarat,"MG Road Opposite Girnar Cinema, Fullchhab Chowk"
Chennai's Chutney | Authentic South Indian | Chinese | Punjabi restaurant in Rajkot,"Bilkha Plaza, Kasturba Rd, opp. lords Banquet, Naval Nagar, Sadar, Rajkot, Gujarat 360001",,094095 99000,,3.7,cafe,,rajkot,gujarat,"Bilkha Plaza, Kasturba Rd"
