name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Coffee Culture,"Shop No. 01, Ground Floor, Mitul Square, behind Rahul Raj Mall, Piplod, Surat, Gujarat 395007",coffeeculture.co.in,097149 13330,,4.3,cafe,,surat,gujarat,"Shop No. 01, Ground Floor"
The Boho,"Besides AJILIYAA ,A & J House , kakadiya complex Lane, Ghod Dod Rd, Surat, Gujarat 395007",instagram.com,,,4.4,cafe,,surat,gujarat,"Besides AJILIYAA ,A & J House"
Cafe De Meet,"109, First Floor, International Business Centre IBC, Piplod, Surat, Gujarat 395007",cafedemeet.com,089809 13000,,4.3,cafe,,surat,gujarat,"109, First Floor"
Meraki The Coffee House,"Sangam Society, 201, SNS Sparkle, 3, opp. Starbucks, City Light Town, Athwa, Surat, Gujarat 395007",facebook.com,097232 29366,,4.6,cafe,,surat,gujarat,"Sangam Society, 201"
Meraki The Coffee House,"SNS Platina, 108, Vesu Main Road, nr. Reliance Market, Someshwara Enclave, Vesu, Surat, Gujarat 395007",,097377 94366,,4.5,cafe,,surat,gujarat,"SNS Platina, 108"
The Gallery Cafe,"SNS Platina, 108, Vesu Main Road, nr. Reliance Market, Someshwara Enclave, Vesu, Surat, Gujarat 395007",,097377 94366,,4.5,cafe,,surat,gujarat,"SNS Platina, 108"
365 The Travel Cafe,"HPCL Pump, opp. Science centre, City Light Town, Citylight, Surat, Gujarat 395003",wa.me,081410 17971,,4.7,cafe,,surat,gujarat,"HPCL Pump, opp. Science centre"
Coffee King,"UG-1, Shubh Universal, Nr. Western Vesu Point, opp. Vijya Laxmi Hall, Vesu, Surat, Gujarat 395007",coffeeking.petpooja.com,074050 34410,,4.5,cafe,,surat,gujarat,"UG-1, Shubh Universal"
Coffee King,"1,2, 5QRR+H35 Abhinandan Heights, LP Savani Rd, opposite Wings Hospital, nr. Madhuvan Circle, Hariom Nagar Society,Adajan Gam, Adajan Gam, Adajan, Surat, Gujarat 395009",coffeeking.in,074050 21433,,4.4,cafe,,surat,gujarat,"1,2"
Kinaara The Café,"Behind S D Jain Modern School Vesu, Piplod, Surat, Gujarat 395007",,063587 50033,,4.2,cafe,,surat,gujarat,"Behind S D Jain Modern School Vesu, Piplod"
Cafe Beats Restaurant,"Ford Showroom, Near, G-10 Blue Stone Building, Shyamdham mandirChowk, Sarthana Jakat Naka, Surat, Gujarat 395013",cafebeats.in,078745 65657,,4.3,cafe,,surat,gujarat,"Ford Showroom, Near"
Nothing Before Coffee,"Sangini Evoq, Nr. Bhagwan Mahavir College, VIP Rd, Vesu, Surat, Gujarat 395007",nothingbeforecoffee.com,088495 25976,,4.7,cafe,,surat,gujarat,"Sangini Evoq, Nr. Bhagwan Mahavir College"
Engine Cafe,"Plot No- 28/1, VIP Road, Behind Gail Colony Vesu, Magdalla, Surat, Gujarat 395007",,093278 54661,,4.2,cafe,,surat,gujarat,"Plot No- 28/1, VIP Road"
Mysore Cafe,"Daruwalla Building Besides Athwa Petrol Pump, Athwalines, Surat, Gujarat 395001",,0261 246 3767,,4.3,cafe,,surat,gujarat,"Daruwalla Building Besides Athwa Petrol Pump, Athwalines"
Let's Meet Cafe,"G-5, Safal Square, Udhana - Magdalla Rd, Vesu, Surat, Gujarat 395007",,099740 85423,,4.4,cafe,,surat,gujarat,"G-5, Safal Square"
Unvind Cafe,"6th Floor, Kalp Business Center, above Iconic, City Light Rd, opp. Pantaloons, Surat, Gujarat 395007",unvindcafe.com,081411 07070,,4.6,cafe,,surat,gujarat,"6th Floor, Kalp Business Center"
The Bungalow Cafe,"Aagam Vivianna, C-302, opp. Florencce Apt, Vesu, Surat, Gujarat 395007",zoma.to,097274 21004,,4.3,cafe,,surat,gujarat,"Aagam Vivianna, C-302"
Otlo Cafe,"G-70, 71, Silver Business Point, VIP Cir, Uttran, Surat, Gujarat 395010",otlothecafe.com,099099 09311,,4.7,cafe,,surat,gujarat,"G-70, 71"
3 Story | Modern Resto & Café,"Titaanium The Business Hub, G-17, Bhimrad Rd, opp. Aakash Empire, beside White Temple, Surat, Gujarat 395017",,,,4.4,cafe,,surat,gujarat,"Titaanium The Business Hub, G-17"
Brring Me Coffee,"Piplod Main Road, Saraswat Nagar Society, Piplod, Surat, Gujarat 395007",,096384 99900,,4.3,cafe,,surat,gujarat,"Piplod Main Road, Saraswat Nagar Society"
Mewaco Cafe & Restro,"Piplod Main Road, Saraswat Nagar Society, Piplod, Surat, Gujarat 395007",,096384 99900,,4.3,cafe,,surat,gujarat,"Piplod Main Road, Saraswat Nagar Society"
The Bungalow Cafe,"A102, First Floor, Valentina Business Hub, 27, Subhash Chandra Bose Marg, Guru Ram Pavan Bhumi, Adajan Gam, Adajan, Surat, Gujarat 395009",,078787 57233,,4.1,cafe,,surat,gujarat,"A102, First Floor"
Moonstruck Coffee,"SNS Atria Besides Happy Excelencia, opp. Jolly Party Plot, Vesu, Surat, Gujarat 395007",instagram.com,096647 21479,,4.3,cafe,,surat,gujarat,"SNS Atria Besides Happy Excelencia, opp. Jolly Party Plot"
Mr Cafe (The Sky Lounge),"Sns Arista 10th, near Happy Residency, Vesu, Surat, Gujarat 395007",mrcafeskylounge.com,092745 93745,,4.2,cafe,,surat,gujarat,"Sns Arista 10th, near Happy Residency"
"Cafe De Meet Siguiente. Banquets, Cafés & Restaurants","VIP Rd, opp. Metro Wholesale, Anand Park, Althan, Surat, Gujarat 395007",caffeinationroasters.com,089803 13000,,4.6,cafe,,surat,gujarat,"VIP Rd, opp. Metro Wholesale"
18.19 Cafe' Lounge,"surat Bunglow no.3 Napoleon estate, beside VR mall, Surat, Gujarat 395007",,089803 50576,,4.3,cafe,,surat,gujarat,"surat Bunglow no.3 Napoleon estate, beside VR mall"
