name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Coffee Clan,"Shivang Complex, Shop N0, 4 5 6, Urmi Rd, Opp Gail Office, Punit Nagar, Society, Vadodara, Gujarat 390007",,074054 12238,,4.4,cafe,,vadadora,gujarat,"Shivang Complex, Shop N0"
The Cave Cafe,"2nd floor, Midway Height, opp. SSG Hospital, near Kala Ghoda Circle, Dak Bunglaw, Sayajiganj, Vadodara, Gujarat 390020",instagram.com,088665 57838,,4.9,cafe,,vadadora,gujarat,"2nd floor, Midway Height"
The Tulip Touch Café,"The Tulip Touch Cafe, opposite Galleria Mall, Prafull Society, Tarangan Society, Akota, Vadodara, Gujarat 390007",,091061 83731,,4.5,cafe,,vadadora,gujarat,"The Tulip Touch Cafe, opposite Galleria Mall"
TIMES CAFE SAYAJIGUNJ,"FF1, Alankar Tower, Police Station, opp. Sayajigunj, Near Sayajigunj Police Station, Sarod, Sayajiganj, Vadodara, Gujarat 390007",,096626 89707,,4.2,cafe,,vadadora,gujarat,"FF1, Alankar Tower"
Cafe Bistro,"White Potato Restaurant, Shankheshwar Parshwanath Marg Ground floor, Opposit D-mart, Besides, Akota, Vadodara, Gujarat 390007",facebook.com,099043 19904,,4.2,cafe,,vadadora,gujarat,"White Potato Restaurant, Shankheshwar Parshwanath Marg Ground floor"
Friends Factory Cafe - Private Candle Light Dinner,"Priya Talkies Road, 424, OneWest, Asopalav W 4th Floor Besides Adventuraa, Sevasi - Canal Rd, Gotri, Vadodara, Gujarat 391101",friendsfactorycafe.com,074878 88730,,4.8,cafe,,vadadora,gujarat,"Priya Talkies Road, 424"
Charmant-The Heritage Café,"Contractor's Bungalow, Faramji Rd, opp. Railway Booking Office, Alkapuri, Vadodara, Gujarat 390007",,097730 50954,,4.3,cafe,,vadadora,gujarat,"Contractor's Bungalow, Faramji Rd"
Times Cafe,"Petrol Pump, 1st Floor Times Square Building, next to Fategunj, Fatehgunj, Vadodara, Gujarat 390002",timescafe.in,096626 89707,,4.1,cafe,,vadadora,gujarat,"Petrol Pump, 1st Floor Times Square Building"
Canara Coffee House,"852W+2MV, beside Premanand Hall, Dandia Bazar, Jambubet, Vadodara, Gujarat 390001",,083205 10892,,4.0,cafe,,vadadora,gujarat,"852W+2MV, beside Premanand Hall"
Caffein Cafe,"Gokul Society, 6, Vasna - Bhayli Main Rd, Vasna jakat Naka, Ravi Park Society, Saiyed Vasna, Vadodara, Gujarat 390012",caffein.co.in,074053 69369,,4.2,cafe,,vadadora,gujarat,"Gokul Society, 6"
Koa Café,"304-307, 3rd Floor, Boardway Signature, Nr. Adventuraa Fun Park, 30mtr, Canal Ring Road, TP-1, Sevasi, Vadodara, Gujarat 391101",koacafe.in,076000 06311,,4.2,cafe,,vadadora,gujarat,"304-307, 3rd Floor"
The Nirvaan Cafe & Lounge,"Sun Pharma Rd, Pramukh Swami nagar, Atladara, Vadodara, Gujarat 390012",,,,4.2,cafe,,vadadora,gujarat,"Sun Pharma Rd, Pramukh Swami nagar"
Cafe Brewito - Best cafe in vadodara | Best specialty coffee in town,"GF-1, Earth EON, Sama-Savli Rd, opp. Urmi School, Karelibagh, Vadodara, Gujarat 390024",cafebrewito.com,095869 68006,,4.1,cafe,,vadadora,gujarat,"GF-1, Earth EON"
The Signature Brew,"83 /A हाई विद्यालय, near बड़ोदा, Alkapuri, Vadodara, Gujarat 390007",,081412 87148,,4.1,cafe,,vadadora,gujarat,"83 /A हाई विद्यालय, near बड़ोदा"
Times Cafe HQ OP Road,"Sai Villa Complex, 103, Old Padra Rd, opp. Reliance Mall, Shripal Society, Madhav Nagar, Akota, Vadodara, Gujarat 390007",,096626 89707,,4.1,cafe,,vadadora,gujarat,"Sai Villa Complex, 103"
Cafe L'amour - Best Cafe In Vadodara For Birthday Celebration And Candle light Date,"FF- 46, Earth Eon Complex, Sama-Savli Rd, opp. Urmi School Over Bridge, New Sama, Vadodara, Gujarat 390024",instagram.com,088490 55749,,4.5,cafe,,vadadora,gujarat,"FF- 46, Earth Eon Complex"
"The Corner Cafe , Vadodara","The Corner Cafe 33-Phoenix Resicom ,Vaikunth Char Rasta, Waghodia Rd, Vadodara, Gujarat 390019",,073592 95384,,4.9,cafe,,vadadora,gujarat,"The Corner Cafe 33-Phoenix Resicom ,Vaikunth Char Rasta"
Times Cafe The Lounge,"The Corner Cafe 33-Phoenix Resicom ,Vaikunth Char Rasta, Waghodia Rd, Vadodara, Gujarat 390019",,073592 95384,,4.9,cafe,,vadadora,gujarat,"The Corner Cafe 33-Phoenix Resicom ,Vaikunth Char Rasta"
CENTRAL JAIL café,"Shop No. GF-10 Saffron Complex, Fatehgunj, Vadodara, Gujarat 390002",,,,4.0,cafe,,vadadora,gujarat,"Shop No. GF-10 Saffron Complex, Fatehgunj"
Woodbond Cafe,"Ankodiya Rd, New Alkapuri, Laxmipura, Panchvati, Vadodara, Ankodiya, Gujarat 390021",,098254 69563,,4.5,cafe,,vadadora,gujarat,"Ankodiya Rd, New Alkapuri"
Canara Coffee House,"852W+2MV, beside Premanand Hall, Dandia Bazar, Jambubet, Vadodara, Gujarat 390001",,083205 10892,,4.0,cafe,,vadadora,gujarat,"852W+2MV, beside Premanand Hall"
Times Cafe The Lounge,"852W+2MV, beside Premanand Hall, Dandia Bazar, Jambubet, Vadodara, Gujarat 390001",,083205 10892,,4.0,cafe,,vadadora,gujarat,"852W+2MV, beside Premanand Hall"
Charmant-The Heritage Café,"Contractor's Bungalow, Faramji Rd, opp. Railway Booking Office, Alkapuri, Vadodara, Gujarat 390007",,097730 50954,,4.3,cafe,,vadadora,gujarat,"Contractor's Bungalow, Faramji Rd"
TeaMax Cafe Vadodara,"Shop number 43,44, Phonix Resicom, Waghodia Rd, near vaikunth char rasta, Vadodara, Gujarat 390019",teamaxcafe.in,,,4.4,cafe,,vadadora,gujarat,"Shop number 43,44"
Pefeteria - Gujarat's 1st Pet Cafe,"Shop number 43,44, Phonix Resicom, Waghodia Rd, near vaikunth char rasta, Vadodara, Gujarat 390019",teamaxcafe.in,,,4.4,cafe,,vadadora,gujarat,"Shop number 43,44"
La Ville Cafe,"Abbas Tyabji Rd, near Methodist Church, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",,076000 31580,,4.6,cafe,,vadadora,gujarat,"Abbas Tyabji Rd, near Methodist Church"
Finca Restro-Cafe,"Abbas Tyabji Rd, near Methodist Church, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",,076000 31580,,4.6,cafe,,vadadora,gujarat,"Abbas Tyabji Rd, near Methodist Church"
Cafe Fitoor,"2,3, Landmark Complex, SB 1, below Thomas Cook, Vadodara, Gujarat 390007",,063521 32712,,4.5,cafe,,vadadora,gujarat,"2,3"
Cafe Motogaze,"Besides, Shakti Greens banquet and lawns, opposite The Emperor, near Bright Day School CBSE, Bhayli, Vadodara, Gujarat 390015",motogazevadodara.com,099786 87897,,4.5,cafe,,vadadora,gujarat,"Besides, Shakti Greens banquet and lawns"
Cafe Appetito - Alembic,"Shop No, Alembic Pharma Campus, 3, Alembic Rd, BIDC Gorwa Estate, Subhanpura, Vadodara, Gujarat 390003",,,,4.2,cafe,,vadadora,gujarat,"Shop No, Alembic Pharma Campus"
ROCKSOUL CAFE & BISTRO,"121, OneWest, Aasopalav W, Sevasi - Canal Rd, near Priya Talkies, Gotri, Vadodara, Gujarat 391101",,096620 01448,,4.4,cafe,,vadadora,gujarat,"121, OneWest"
THE DUGOUT CAFE,"13 & 14 BASEMENT, EMPEROR COMPLEX, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",,079900 41728,,4.1,cafe,,vadadora,gujarat,"13 & 14 BASEMENT, EMPEROR COMPLEX"
The Delish Cafe || Best Cafe In Vadodara | Food Court In Vadodara | Cafeteria In Vadodara,"13 & 14 BASEMENT, EMPEROR COMPLEX, Abbas Tyabji Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",,079900 41728,,4.1,cafe,,vadadora,gujarat,"13 & 14 BASEMENT, EMPEROR COMPLEX"
Lion's Cafe,"High Tension Rd, Subhanpura, Vadodara, Gujarat 390021",,088664 30549,,4.8,cafe,,vadadora,gujarat,"High Tension Rd, Subhanpura"
DARK BITE JUNGLE,"High Tension Rd, Subhanpura, Vadodara, Gujarat 390021",,088664 30549,,4.8,cafe,,vadadora,gujarat,"High Tension Rd, Subhanpura"
Karma Cafe,"Karma cafe, VIP Rd, near Jain derasar, Amit Nagar, Karelibagh, Vadodara, Gujarat 390018",,096013 56553,,4.5,cafe,,vadadora,gujarat,"Karma cafe, VIP Rd"
BOGO Unplugged (Cafe & Lounge),"Karma cafe, VIP Rd, near Jain derasar, Amit Nagar, Karelibagh, Vadodara, Gujarat 390018",,096013 56553,,4.5,cafe,,vadadora,gujarat,"Karma cafe, VIP Rd"
Times Cafe Gotri,"Lilleria 1038 Besides zydus House, Gotri Rd, Vadodara, Gujarat 390021",,096626 89707,,4.3,cafe,,vadadora,gujarat,"Lilleria 1038 Besides zydus House, Gotri Rd"
Darbargadh Cafeteria - Best Cafe in Vadodara,"Lilleria 1038 Besides zydus House, Gotri Rd, Vadodara, Gujarat 390021",,096626 89707,,4.3,cafe,,vadadora,gujarat,"Lilleria 1038 Besides zydus House, Gotri Rd"
Gazra Cafe,"inside Shri Maharani Chimnabai Stree Udyogalaya, opp. Sursagar Lake, Mandvi, Vadodara, Gujarat 390001",,082003 06871,,4.4,cafe,,vadadora,gujarat,"inside Shri Maharani Chimnabai Stree Udyogalaya, opp. Sursagar Lake"
Unplaned Cafe,"inside Shri Maharani Chimnabai Stree Udyogalaya, opp. Sursagar Lake, Mandvi, Vadodara, Gujarat 390001",,082003 06871,,4.4,cafe,,vadadora,gujarat,"inside Shri Maharani Chimnabai Stree Udyogalaya, opp. Sursagar Lake"
