name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Charyana Heights,"Charyana Heights, Mother Teresa Rd, Old City, Dhalgarwad, Bhadra, Ahmedabad, Gujarat 380001",facebook.com,073830 08521,,3.8,hotel,,ahmedabad,gujarat,"Charyana Heights, Mother Teresa Rd"
Hotel Silver Springs,"Shahalam Tolnaka, Opposite Swaminarayan College, Gita Mandir Rd, Jyoti Colony, Kankaria, Ahmedabad, Gujarat 380022",,098980 46301,,3.6,hotel,,ahmedabad,gujarat,"Shahalam Tolnaka, Opposite Swaminarayan College"
Wyndham Ahmedabad Shela,"Club O7 Rd, off Sardar Patel Ring Road, Shela, Gujarat 380057",wyndhamhotels.com,02717 245 703,,4.3,hotel,,ahmedabad,gujarat,"Club O7 Rd, off Sardar Patel Ring Road"
Arristo Resort & Club,"Sarkhej - Gandhinagar Hwy, opp. NIRMA UNIVERSITY, nr. Modi Sjikshan Sankool, Gota, Ahmedabad, Gujarat 382481",,,,3.4,hotel,,ahmedabad,gujarat,"Sarkhej - Gandhinagar Hwy, opp. NIRMA UNIVERSITY"
Hotel Sadbhav - shahibaug,"3rd Floor, Dhanlaxmi Chamber, Police commissioner's office, Dr Ambedkar Rd, Shahibag, Ahmedabad, Gujarat 380004",sites.google.com,,,3.5,hotel,,ahmedabad,gujarat,"3rd Floor, Dhanlaxmi Chamber"
Renaissance Ahmedabad Hotel,"Behind Ganesh Meridian Complex, Sola Road, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380060",marriott.com,079 4000 5000,,4.4,hotel,,ahmedabad,gujarat,"Behind Ganesh Meridian Complex, Sola Road"
Novotel Ahmedabad,"Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, next to Wide Angle Cinema, Ahmedabad, Gujarat 380015",all.accor.com,079 4060 6060,,4.6,hotel,,ahmedabad,gujarat,"Iscon Cross Roads, Sarkhej - Gandhinagar Hwy"
Hotel Krishna,"Shiv Shakti, 4th Floor, Keshar Arcade, Nr:- Sentara Hospital BRTS Bus Stop Opp:, Chandkheda, Ahmedabad, Gujarat 382424",instagram.com,074900 33843,,4.6,hotel,,ahmedabad,gujarat,"Shiv Shakti, 4th Floor"
Hotel Kamran Palace,"Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001",hotelkamranpalace.com,,,3.7,hotel,,ahmedabad,gujarat,"Old City, Gheekanta"
Hotel Radiant,"Paldi cross road, Paldi Rd, opposite Amts Bus Stop, opposite Adani CNG PUMP, Paldi, Ahmedabad, Gujarat 380007",hotelradiant.in,094271 07104,,3.7,hotel,,ahmedabad,gujarat,"Paldi cross road, Paldi Rd"
Hotel Westin Park,"4th Floor, Silver Star Heights, commercial complex, Chandlodiya Rd, Chandlodiya, Ahmedabad, Gujarat 382481",instagram.com,096013 54361,,3.3,hotel,,ahmedabad,gujarat,"4th Floor, Silver Star Heights"
Hotel Riverview,"Nehru Brg, near Sakar VII, Vishalpur, Ellisbridge, Ahmedabad, Gujarat 380009",riverviewhotels.in,079 4910 4910,,3.9,hotel,,ahmedabad,gujarat,"Nehru Brg, near Sakar VII"
Hotel DREAMLANDD,"chandkhed 3rd floor a, BRTS stop 382424, nr. Shiv Shakti Nagar, Durga Krupa Society, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424",oyorooms.com,097279 85415,,4.5,hotel,,ahmedabad,gujarat,"chandkhed 3rd floor a, BRTS stop 382424"
Hotel Green Tree,"3rd floor, Urja Complex, visat gandhinagar road, near d mart & vishwakarma temple, Rangjyot Society, Parvati Nagar, Motera, Ahmedabad, Gujarat 380005",hotelgreentree.in,090814 10520,,4.1,hotel,,ahmedabad,gujarat,"3rd floor, Urja Complex"
Hotel City Inn,"Seema Chambers, Relief Rd, opp. Electricity House, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001",,099251 23016,,4.1,hotel,,ahmedabad,gujarat,"Seema Chambers, Relief Rd"
Hotel Shivaay,"Balaji Agora Mall, 2nd floor swarnim the Business hub sms hospital, nr. passport seva kendra, opp. Sms Hospital, GIDC Bhat, Motera, Ahmedabad, Gujarat 380005",sites.google.com,098981 25229,,4.7,hotel,,ahmedabad,gujarat,"Balaji Agora Mall, 2nd floor swarnim the Business hub sms hospital"
