name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
The Oasis Hotel,"First floor, opp. BBC Tower, Sarod, Sayajiganj, Vadodara, Gujarat 390020",theoasishotel.net,0265 222 2055,,4.1,hotel,,vadodara,gujarat,"First floor, opp. BBC Tower"
Regenta Inn Vadodara,"Ved Transcube Plaza, Central Bus Terminal, Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390002",regentarewards.com,,,3.9,hotel,,vadodara,gujarat,"Ved Transcube Plaza, Central Bus Terminal"
Hotel Avista Vadodara,"Shree Niketan Society, 12, Jetalpur Rd, Sampatrao Colony, Alkapuri, Vadodara, Gujarat 390007",hotelavista.co.in,074900 98941,,4.2,hotel,,vadodara,gujarat,"Shree Niketan Society, 12"
Sayaji Hotel Vadodara,"parsi Agyari, Sarod, Sayajiganj, Vadodara, Gujarat 390005",sayajihotels.com,0265 247 6666,,4.4,hotel,,vadodara,gujarat,"parsi Agyari, Sarod"
Hotel GRG,"Alkapuri Main Road, opp. 𝗗𝗿. 𝗔𝗺𝗶𝘀𝗵 𝗠𝗲𝗵𝘁𝗮'𝘀 𝗖𝗵𝗮𝗻𝗱𝗮𝗻 𝗗𝗲𝗻𝘁𝗮𝗹, Sampatrao Colony, Alkapuri, Vadodara, Gujarat 390007",,0265 234 1022,,3.5,hotel,,vadodara,gujarat,"Alkapuri Main Road, opp. 𝗗𝗿. 𝗔𝗺𝗶𝘀𝗵 𝗠𝗲𝗵𝘁𝗮'𝘀 𝗖𝗵𝗮𝗻𝗱𝗮𝗻 𝗗𝗲𝗻𝘁𝗮𝗹"
Lemon Tree Hotel Vadodara,"opposite Parsi Agyari, Sarod, Sayajiganj, Vadodara, Gujarat 390020",lemontreehotels.com,0265 260 2000,,3.9,hotel,,vadodara,gujarat,"opposite Parsi Agyari, Sarod"
7 Apple Hotel - Vadodara,"Old Chhani Rd, Next to D-Mart, Sardar Nagar, Sayajiganj, Vadodara, Gujarat 390002",7applehotels.com,075740 47777,,4.7,hotel,,vadodara,gujarat,"Old Chhani Rd, Next to D-Mart"
Vivanta Vadodara,"Akota Garden Main Rd, Shushil Park Society, Sheetal Nagar, Akota, Vadodara, Gujarat 390007",vivantahotels.com,0265 661 7676,,4.4,hotel,,vadodara,gujarat,"Akota Garden Main Rd, Shushil Park Society"
Shagun Hotel,"Offtel Tower, RC Dutt Rd, near V-Mart, Dilaram Comound, Alkapuri, Vadodara, Gujarat 390007",shagun-hotel.com,099132 83828,,3.2,hotel,,vadodara,gujarat,"Offtel Tower, RC Dutt Rd"
Hotel Amber Vadodara station,"3rd Floor Nautillurs, Nautillus Building, near Railway Station, Sarod, Sayajiganj, Vadodara, Gujarat 390007",hotelamber.in,099786 46982,,3.9,hotel,,vadodara,gujarat,"3rd Floor Nautillurs, Nautillus Building"
HOTEL YUVRAJ,"Station Road, Near Central bus station, opp. to railways station gate 2, Sayajiganj, Vadodara, Gujarat 390002",yuvrajhotel.in,0265 279 5252,,3.8,hotel,,vadodara,gujarat,"Station Road, Near Central bus station"
Lords Inn Vadodara,"Near University Road, near Kala Ghoda Circle, Sayajiganj, Vadodara, Gujarat 390002",lordshotels.com,1800 891 2912,,4.1,hotel,,vadodara,gujarat,"Near University Road, near Kala Ghoda Circle"
Hotel Ideal vadodara,"3rd Floor, Nautillus Building, nr. Hotel Ambessador, Sarod, Sayajiganj, Vadodara, Gujarat 390007",hotelideal.in,0265 222 2027,,3.9,hotel,,vadodara,gujarat,"3rd Floor, Nautillus Building"
"The Fern - An Ecotel Hotel, Vadodara","off Dinesh Mill Road, Near Urmi Char Rasta, Purushottam Nagar, Akota, Vadodara, Gujarat 390007",fernhotels.com,0265 230 5000,,4.2,hotel,,vadodara,gujarat,"off Dinesh Mill Road, Near Urmi Char Rasta"
Regenta Fairlark,"Regenta Fairlark, Darshanam Capital, Canal Ring road, Vasna - Bhayli Main Rd, opposite Essar petrol pump, near waves club, Bhayli, Vadodara, Gujarat 391410",regentarewards.com,0265 212 1000,,4.3,hotel,,vadodara,gujarat,"Regenta Fairlark, Darshanam Capital"
Tarasuns - Vadodara,"846Q+FX9, B/h Yash Complex, B/s Sonal Park, G.E.R.I. Road, Sundaram Nagar, Gotri, Vadodara, Gujarat 390007",tarasuns.com,0265 681 8283,,4.6,hotel,,vadodara,gujarat,"846Q+FX9, B/h Yash Complex"
Hotel CASA,"Near Jayesh Colony Fatehgunj Vadodara, Above Saraswat Bank, Opposite Rangoli Restaurant, Vadodara, Gujarat 390002",hotelcasa.co.in,081419 44477,,3.9,hotel,,vadodara,gujarat,"Near Jayesh Colony Fatehgunj Vadodara, Above Saraswat Bank"
Ginger Vadodara RCR,"near, Natubhai Cir, Race Course, Gadapura, Vadiwadi, Vadodara, Gujarat 390007",krisanapg.com,0265 672 1333,,4.0,hotel,,vadodara,gujarat,"near, Natubhai Cir"
HOTEL PAM PREMIUM VADODARA,"PAM PREMIUM, opp. SURAJ PLAZA, Sarod, Sayajiganj, Vadodara, Gujarat 390005",hotel.pamhotelsindia.com,0265 236 8888,,4.7,hotel,,vadodara,gujarat,"PAM PREMIUM, opp. SURAJ PLAZA"
Courtyard by Marriott Vadodara,"Block B Sarabhai Campus, Near Genda Circle, Alembic Rd, Vadodara, Gujarat 390023",marriott.com,0265 666 0000,,4.5,hotel,,vadodara,gujarat,"Block B Sarabhai Campus, Near Genda Circle"
President Hotel,"G-1, Profit Centre, Near, Kala Ghoda Cir, opposite Sayajibaug, Near Kala Ghoda, Sarod, Sayajiganj, Vadodara, Gujarat 390007",hotelpresidentbaroda.com,0265 236 2222,,4.1,hotel,,vadodara,gujarat,"G-1, Profit Centre"
HOTEL PAM PREMIUM VADODARA,"PAM PREMIUM, opp. SURAJ PLAZA, Sarod, Sayajiganj, Vadodara, Gujarat 390005",hotel.pamhotelsindia.com,0265 236 8888,,4.7,hotel,,vadodara,gujarat,"PAM PREMIUM, opp. SURAJ PLAZA"
Courtyard by Marriott Vadodara,"Block B Sarabhai Campus, Near Genda Circle, Alembic Rd, Vadodara, Gujarat 390023",marriott.com,0265 666 0000,,4.5,hotel,,vadodara,gujarat,"Block B Sarabhai Campus, Near Genda Circle"
HOTEL YUVRAJ,"Station Road, Near Central bus station, opp. to railways station gate 2, Sayajiganj, Vadodara, Gujarat 390002",yuvrajhotel.in,0265 279 5252,,3.8,hotel,,vadodara,gujarat,"Station Road, Near Central bus station"
"Hotel Alpha, Vadodara","7th Floor, Phoenix Complex, Sarod, Sayajiganj, Vadodara, Gujarat 390020",alphahotel.in,0265 236 3555,,4.0,hotel,,vadodara,gujarat,"7th Floor, Phoenix Complex"
Hotel sun city inn,"2nd floor Aary,s corner point opp voltamp company Makarpura, main Road, Maneja, Vadodara, Gujarat 390013",,072038 06267,,4.3,hotel,,vadodara,gujarat,"2nd floor Aary,s corner point opp voltamp company Makarpura"
Ginger Vadodara RCR,"near, Natubhai Cir, Race Course, Gadapura, Vadiwadi, Vadodara, Gujarat 390007",krisanapg.com,0265 672 1333,,4.0,hotel,,vadodara,gujarat,"near, Natubhai Cir"
"The Beacon Hotel, Vadodara","853G+7JR, near The Fern, behind Dinesh Mill Road, Gokhale Colony, Purushottam Nagar, Akota, Vadodara, Gujarat 390007",beaconhotels.com,063589 55411,,4.5,hotel,,vadodara,gujarat,"853G+7JR, near The Fern"
Click Hotel Vadodara,"BBC Tower, Unit No.50, Station rd Road, Tower, Lane, opp. Sayajigunj, Sayajiganj, Vadodara, Gujarat 390007",subahotels.com,075758 05045,,3.2,hotel,,vadodara,gujarat,"BBC Tower, Unit No.50"
Hotel Pearl Vadodara,"Hotel Pearl, Orient Business Centre, opp. Suraj Plaza, near BBC Tower Sayajigunj, Orient Business Centre, Opp.HDFC Bank, Sarod, Sayajiganj, Vadodara, Gujarat 390020",,098797 03350,,3.9,hotel,,vadodara,gujarat,"Hotel Pearl, Orient Business Centre"
The Veronica Hotel,"Vinod Baug Plot No.2, Jetalpur Road, Swami Vivekananda Railway Over Brg, beside Himalaya Cancer Hospital, Jetalpur, Vadodara, Gujarat 390007",veronicahotels.com,0265 231 4314,,4.1,hotel,,vadodara,gujarat,"Vinod Baug Plot No.2, Jetalpur Road"
The Sky Imperial Hotel Yahvi,"Old Padra Road, Near Manisha Chowkdi, Behind McDonald & GAIL INDIA, Vadodara, Gujarat 390009",theskyimperial.com,063538 31557,,3.9,hotel,,vadodara,gujarat,"Old Padra Road, Near Manisha Chowkdi"
Hotel orbit,"Next to hotel planet, behind Mercure Surya palace hotel, Sayajiganj, Vadodara, Gujarat 390005",modestel.com,073596 87359,,4.5,hotel,,vadodara,gujarat,"Next to hotel planet, behind Mercure Surya palace hotel"
Hotel Divine Heritage - Best Hotel In Vadodara,"3rd Floor, Shopper Plaza, Maneja Crossing Rd, above Axis Bank, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390013",,063510 72727,,4.3,hotel,,vadodara,gujarat,"3rd Floor, Shopper Plaza"
HOTEL MARYLAND,"4floor Complex, Vraj Bhoomi, NH 8, NR, CHOKDI, Kapurai Village, Vadodara, Gujarat 390025",,097240 88584,,4.0,hotel,,vadodara,gujarat,"4floor Complex, Vraj Bhoomi"
Hotel Villa Empire,"8th Floor, Darshan Complex, Darshanam Cross Road, Soma Talav Char Rasta, Maha Nagar, Danteshwar, Vadodara, Gujarat 390025",,095109 53017,,4.9,hotel,,vadodara,gujarat,"8th Floor, Darshan Complex"
Sunday Hotel Vadodara,"Ground Floor, Iskon Janmahal, Alkapuri, opp. railway station, Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390007",oyorooms.com,063579 59488,,4.6,hotel,,vadodara,gujarat,"Ground Floor, Iskon Janmahal"
Royal Orchid Central,"Mujmahuda Rd, Pratham Avenue, Akota, Vadodara, Gujarat 390007",regentarewards.com,,,4.2,hotel,,vadodara,gujarat,"Mujmahuda Rd, Pratham Avenue"
Eastin Residences Vadodara,"78, RC Dutt Rd, Sampatrao Colony, Alkapuri, Vadodara, Gujarat 390007",eastinhotelsresidences.com,0265 670 7777,,4.3,hotel,,vadodara,gujarat,"78, RC Dutt Rd"
THE PACIFIC HOTEL VADODARA,"22, Jetalpur Rd, Sampatrao Colony, Alkapuri, Vadodara, Gujarat 390007",,093273 26608,,4.1,hotel,,vadodara,gujarat,"22, Jetalpur Rd"
Hotel Limra - Best Budget Hotels | Top 10 Business Hotels in Vadodara,"opp. BBC Tower, near Kadak Bazar, Orient Business Centre, Opp.HDFC Bank, Sarod, Sayajiganj, Vadodara, Gujarat 390020",hotellimravadodara.com,098798 77787,,4.4,hotel,,vadodara,gujarat,"opp. BBC Tower, near Kadak Bazar"
Effotel by Sayaji Vadodara,"Near, Kala Ghoda Cir, Sarod, Sayajiganj, Vadodara, Gujarat 390007",sayajihotels.com,,,4.3,hotel,,vadodara,gujarat,"Near, Kala Ghoda Cir"
Four Points by Sheraton Vadodara,"1275 Ward, No. 7, Fatehgunj, Vadodara, Gujarat 390002",marriott.com,0265 616 0000,,4.2,hotel,,vadodara,gujarat,"1275 Ward, No. 7"
Hotel Monville,"EVERST UNITY BHAYLI TP -4, 30MTAR, Canal Rd, opp. IIRA International School Road, Bhayli, Vadodara, Gujarat 391410",hotelmonvillegroups.com,080000 72155,,4.7,hotel,,vadodara,gujarat,"EVERST UNITY BHAYLI TP -4, 30MTAR"
"FabHotel Shivam Residency - Hotel in Karelibagh, Vadodara","RBG Complex, Jalaram Mandir Rd, Opposite Bahucharaji Temple, Harish Nagar, Karelibagh, Vadodara, Gujarat 390018",fabhotels.com,070424 24242,,4.3,hotel,,vadodara,gujarat,"RBG Complex, Jalaram Mandir Rd"
Hotel Prince Inn Vadodara,"3rd floor, Shree Siddheshwar the business harbor Narayan Vidhyalaya road, Near Kapurai bridge, NH.8 Main road touch, Gujarat 390025",hotelprinceinn.com,088667 63767,,4.2,hotel,,vadodara,gujarat,"3rd floor, Shree Siddheshwar the business harbor Narayan Vidhyalaya road"
Hotel Telikos Silver _ Vadodara,"44, 45, Chintamani Society, near, Amit Nagar Cir, opp. The Bright School, Amit Nagar, Saibaba Nagar, Karelibagh, Vadodara, Gujarat 390022",grexa.site,0124 620 1240,,3.4,hotel,,vadodara,gujarat,"44, 45"
"Welcomhotel By ITC Hotels, Alkapuri, Vadodara","RC Dutt Rd, Alkapuri, Vadodara, Gujarat 390007",itchotels.com,0265 233 0033,,4.6,hotel,,vadodara,gujarat,"RC Dutt Rd, Alkapuri"
Hotel Midtown,"Abbas Tyabji Rd, next to Parsi agiari, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",modestel.com,072279 80331,,4.4,hotel,,vadodara,gujarat,"Abbas Tyabji Rd, next to Parsi agiari"
HOTEL SERA PREMIUM,"Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390005",sera.hotelbaroda.com,074094 49740,,4.4,hotel,,vadodara,gujarat,"Maharaja Sayajirao University, Sayajiganj"
Ginger Vadodara,"Fatehgunj Camp Road Opp. Saffron Tower, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",gingerhotels.com,0265 663 3333,,3.9,hotel,,vadodara,gujarat,"Fatehgunj Camp Road Opp. Saffron Tower, Jayesh Colony"
Hotel Grand,"854G+WQ6 gujarat kidney hospital, Labh Complex Near Railway Station Jetalpur Bridge, Jetalpur Rd, Vadodara, Gujarat 390007",apnabusinesscard.com,090999 13312,,4.5,hotel,,vadodara,gujarat,"854G+WQ6 gujarat kidney hospital, Labh Complex Near Railway Station Jetalpur Bridge"
Hotel Royal Residency,"4th Floor Siddharth Annexe Above Domino's Pizza Near Ambe School, Sama-Savli Rd, Vadodara, Gujarat 390008",hotelroyalresidency.info,0265 271 4600,,3.9,hotel,,vadodara,gujarat,"4th Floor Siddharth Annexe Above Domino's Pizza Near Ambe School, Sama-Savli Rd"
Palette Hotel Surya Vadodara,"Near Railway Station, Sayajiganj, Vadodara, Gujarat 390007",hotelsurya.com,0265 222 6161,,3.8,hotel,,vadodara,gujarat,"Near Railway Station, Sayajiganj"
Hotel Express Residency,"18, 19, Dr Rustom Cama Marg, Alkapuri Society, Alkapuri, Vadodara, Gujarat 390007",expresshotelsindia.com,0265 613 9000,,4.2,hotel,,vadodara,gujarat,"18, 19"
Hyatt Place Vadodara,"Nilamber Circle, Nilamber Triumph, Hotel Wing, Gotri - Vasna Rd, Vasna, Vadodara, Gujarat 391410",hyatt.com,0265 666 1234,,4.4,hotel,,vadodara,gujarat,"Nilamber Circle, Nilamber Triumph"
Hotel Balaji villa,"Apna House, 50/W, Hari Nagar Cross Rd, near Bank Of Baroda, Gotri, Vadodara, Gujarat 390007",hotelbalajivilla.site,081413 77359,,4.6,hotel,,vadodara,gujarat,"Apna House, 50/W"
Hotel The Clove Leaf By Krishna Palace,"2nd Floor, Sun Onyx Complex, Geb, NH48 Highway, Jambuva, Vadodara, Gujarat 390014",,099208 99666,,4.9,hotel,,vadodara,gujarat,"2nd Floor, Sun Onyx Complex"
Fairfield by Marriott Vadodara,"RC Dutt Rd, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007",marriott.com,0265 681 9999,,4.4,hotel,,vadodara,gujarat,"RC Dutt Rd, Vishwas Colony"
