name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Tinello - Best Italian Restaurant,"Hyatt Regency Ahmedabad, India Lobby Level, 17/A, Ashram Rd, Usmanpura, Ahmedabad, Gujarat 380009",hyattrestaurants.com,079 4017 1133,,4.3,restaurant,,ahmedabad,gujarat,"Hyatt Regency Ahmedabad, India Lobby Level"
Agashiye,"the house of MG sidi saiyyed mosque, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001",houseofmg.com,079 2550 6946,,4.6,restaurant,,ahmedabad,gujarat,"the house of MG sidi saiyyed mosque, Old City"
E Quality Restaurant & Banquet,"1st Floor Ganga Rachna Commercial Complex Shop No.1, आश्रम मार्ग, शुभाष ब्रिज, next to उत्कर्ष आरबीआई क्वार्टर्स, Old Wadaj, Ahmedabad, Gujarat 380027",,079 2755 7429,,4.1,restaurant,,ahmedabad,gujarat,"1st Floor Ganga Rachna Commercial Complex Shop No.1, आश्रम मार्ग"
The Green House,"1st Floor Ganga Rachna Commercial Complex Shop No.1, आश्रम मार्ग, शुभाष ब्रिज, next to उत्कर्ष आरबीआई क्वार्टर्स, Old Wadaj, Ahmedabad, Gujarat 380027",,079 2755 7429,,4.1,restaurant,,ahmedabad,gujarat,"1st Floor Ganga Rachna Commercial Complex Shop No.1, आश्रम मार्ग"
Sankalp Restaurant,"1st Floor, Sopan Palladium, Ashram Road, Subhash Cir, opposite RTO OFFICE, Ahmedabad, Gujarat 380027",sankalponline.com,099090 02940,,4.1,restaurant,,ahmedabad,gujarat,"1st Floor, Sopan Palladium"
FoodInn Restaurant,"1st Floor, Sopan Palladium, Ashram Road, Subhash Cir, opposite RTO OFFICE, Ahmedabad, Gujarat 380027",sankalponline.com,099090 02940,,4.1,restaurant,,ahmedabad,gujarat,"1st Floor, Sopan Palladium"
MIRCH MASALA RESTAURANT RTO,"Ganga Rachna Commercial Complex, Ground Floor, Ashram Rd, nr. Gandhi Ashram, Old Wadaj, Ahmedabad, Gujarat 380027",,095589 62091,,4.0,restaurant,,ahmedabad,gujarat,"Ganga Rachna Commercial Complex, Ground Floor"
Vishalla restaurant,"Ganga Rachna Commercial Complex, Ground Floor, Ashram Rd, nr. Gandhi Ashram, Old Wadaj, Ahmedabad, Gujarat 380027",,095589 62091,,4.0,restaurant,,ahmedabad,gujarat,"Ganga Rachna Commercial Complex, Ground Floor"
Nini's Kitchen - Panchvati,"First Floor, Majestic Plaza, D and C, Panchvati Cir, Ahmedabad, Gujarat 380009",ninis.co.in,099255 96666,,4.3,restaurant,,ahmedabad,gujarat,"First Floor, Majestic Plaza"
Brick Kitchen,"First Floor, Majestic Plaza, D and C, Panchvati Cir, Ahmedabad, Gujarat 380009",ninis.co.in,099255 96666,,4.3,restaurant,,ahmedabad,gujarat,"First Floor, Majestic Plaza"
Radhe restaurant,"12/13/14 Ground Floor, Nandanvan Complex, Subhash Cir, Hridaya Kunj, Keshav Nagar, Ahmedabad, Gujarat 380027",,090332 91898,,4.5,restaurant,,ahmedabad,gujarat,"12/13/14 Ground Floor, Nandanvan Complex"
South Indian Restaurant,"12/13/14 Ground Floor, Nandanvan Complex, Subhash Cir, Hridaya Kunj, Keshav Nagar, Ahmedabad, Gujarat 380027",,090332 91898,,4.5,restaurant,,ahmedabad,gujarat,"12/13/14 Ground Floor, Nandanvan Complex"
650 - The Global Kitchen,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Ahmedabad, Gujarat 380015",650theglobalkitchen.com,098240 90111,,4.4,restaurant,,ahmedabad,gujarat,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel"
Bellasen Fine Dine Restaurant & Cafe,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel, Ahmedabad, Gujarat 380015",650theglobalkitchen.com,098240 90111,,4.4,restaurant,,ahmedabad,gujarat,"Shreekunj Mandapam, Beside Golden Tulip Bunglows & Tulip Citadel"
Yanki Sizzlerr,"Commerce College Road, SV Desai Marg, opposite Naranpark Society, H. L, Navrangpura, Ahmedabad, Gujarat 380009",yankisizzlerr.com,088664 48288,,4.4,restaurant,,ahmedabad,gujarat,"Commerce College Road, SV Desai Marg"
