name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Cucina Restaurant and Banquet,"5th floor , Sarthak Pluse Mall , PDEU Cross Road , Bhaijipura Corner Kudasan Koba, Highway, Gandhinagar, Gujarat 382419",thelemongrasshotels.com,099098 44777,,4.6,restaurant,,gandhinagar,gujarat,"5th floor , Sarthak Pluse Mall"
Terracotta Multicuisine Restaurant & Banquet,"Pramukh Arcade, 2 near, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",,080808 02804,,4.3,restaurant,,gandhinagar,gujarat,"Pramukh Arcade, 2 near"
Cilantro's Global Cuisine Restaurant,"315, The Urbania Complex, Palm Rd, Kudasan, Gandhinagar, Gujarat 382419",cilantros.in,091040 83535,,4.7,restaurant,,gandhinagar,gujarat,"315, The Urbania Complex"
La Crest Restaurant & Banquet,"SUR/BLOCK, LAKE, 10/1, Gandhinagar Bypass Rd, opp. SARGASAN, Sargasan, Gandhinagar, Gujarat 382419",lacrest.in,097258 08999,,4.6,restaurant,,gandhinagar,gujarat,"SUR/BLOCK, LAKE"
Sankalp Restaurant-Gandhinagar,"Shop No.178-179, Pramukh Anand Mall, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382009",sankalponline.com,099252 25715,,4.1,restaurant,,gandhinagar,gujarat,"Shop No.178-179, Pramukh Anand Mall"
Greenz Restaurant,"5JMF+MQ8 Greenz restaurant, Kudasan, Gandhinagar, Gujarat 382419",,094266 66500,,4.3,restaurant,,gandhinagar,gujarat,"5JMF+MQ8 Greenz restaurant, Kudasan"
The House of Makeba - Pure Veg Family Dining Restaurant in Gandhinagar,"Radhe Infinity, 105/106, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426",thehouseofmakeba.com,087801 41564,,4.5,restaurant,,gandhinagar,gujarat,"Radhe Infinity, 105/106"
Rustic Rays,"B-201,202,203, The Landmark, Kudasan, Gandhinagar, Gujarat 382419",,088669 92270,,4.5,restaurant,,gandhinagar,gujarat,"B-201,202"
Kansar Garden Restaurant,"5JHH+JWX, Kudasan-Por Rd biker, street road, near Kisan Petrol Pump, Kudasan, Gandhinagar, Gujarat 382424",kansargarden.com,076210 21111,,4.2,restaurant,,gandhinagar,gujarat,"5JHH+JWX, Kudasan-Por Rd biker"
Vrundavan Garden Restaurant,"4JMM+JPJ, AT, Airport Road, Koba Cir, Nabhoi, Gandhinagar, Gujarat 382007",vrundavangardenrestaurant.shop,097147 10906,,3.7,restaurant,,gandhinagar,gujarat,"4JMM+JPJ, AT"
Maeva Restaurant & Banquet,"2nd floor, The Plutus, above Pantaloons and Croma, opp. Ashka Hospital, Sargasan, Gandhinagar, Gujarat 382419",,,,4.3,restaurant,,gandhinagar,gujarat,"2nd floor, The Plutus"
Kake Di Hatti - Gandhinagar,"2nd Floor, Synergy Space Rd, beside New D-Mart, Kudasan, Gandhinagar, Gujarat 382419",kakedihatti.com,098749 79899,,4.3,restaurant,,gandhinagar,gujarat,"2nd Floor, Synergy Space Rd"
Shree Akshar Garden Restaurant,"beside Shahpur Bridge, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382421",,099982 00045,,4.7,restaurant,,gandhinagar,gujarat,"beside Shahpur Bridge, Gujarat International Finance Tec-City"
Mocha Gandhinagar,"Infocity Club And Resort, InfoCity Club, Near Indroda Circle, Infocity, Gandhinagar, Gujarat 382007",mocha.co.in,090811 13330,,4.4,restaurant,,gandhinagar,gujarat,"Infocity Club And Resort, InfoCity Club"
CANDLE LIGHT DATE N DINNER,"5th floor, pramukh square, opp. Aashka Hospital, Sargasan, Gandhinagar, Gujarat 382419",,070464 64449,,4.8,restaurant,,gandhinagar,gujarat,"5th floor, pramukh square"
Furat Restaurant,"1st Floor, Pramukh Arcade, Complex, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",,094296 33440,,4.0,restaurant,,gandhinagar,gujarat,"1st Floor, Pramukh Arcade"
Taste & Tales - Multicuisine Restaurant,"PDPU Rd, near Gift city, Gandhinagar, Gujarat 382426",,075676 78009,,4.7,restaurant,,gandhinagar,gujarat,"PDPU Rd, near Gift city"
Plush restaurant,"5JHM+PQ8, Palm Road Kudasan, Sardar Chowk Rd, Mahesh Society, Kudasan, Gandhinagar, Gujarat 382419",prominenthotels.in,072270 36410,,4.2,restaurant,,gandhinagar,gujarat,"5JHM+PQ8, Palm Road Kudasan"
"The Pink Door restaurant , Kudasan, Gandhinagar","Shop 4 & 5 , Pramukh anand orbit Mall , Kudasan road, Reliance Cross Rd, next to Starbucks, Gandhinagar, Gujarat 382419",profile.ifloratap.com,073591 53555,,4.5,restaurant,,gandhinagar,gujarat,"Shop 4 & 5 , Pramukh anand orbit Mall"
RIVAJ - Gujarati Rasthal,"First Floor, Sarthak Pulse Mall Bhaijipura, Cross Road, Kudasan, Gandhinagar, Gujarat 382007",rivaj.co.in,094260 70607,,4.4,restaurant,,gandhinagar,gujarat,"First Floor, Sarthak Pulse Mall Bhaijipura"
Punjabi tadka family restaurant,"Punjabi tadka, near hotel Siddharth inn, Vavol, Gandhinagar, Gujarat 382016",,091049 95022,,4.4,restaurant,,gandhinagar,gujarat,"Punjabi tadka, near hotel Siddharth inn"
The Masala Secrets,"Ground Floor, West Wing, Siddhraj Z Square, Kudasan, Gandhinagar, Gujarat 382419",,090993 22446,,4.5,restaurant,,gandhinagar,gujarat,"Ground Floor, West Wing"
