name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Patel Vihar Restaurant ( PVR ) - Kathiyawadi Gujarati Food Restaurant in Rajkot | Best Vegetarian Restaurant in Rajkot,"Merit Complex Ground Floor, University Main Road, Near Kotecha Chowk, Rajkot, Gujarat 360005",patelvihar.com,098985 75371,,4.1,restaurant,,rajkot,gujarat,"Merit Complex Ground Floor, University Main Road"
Downtown Restro Cafe,"Nana Mava Rd, opp. Marwadi Corporate House, Neharu Nagar Society, Nehru Nagar Co operative Society, Chandreshnagar, Rajkot, Gujarat 360004",masaladiaries.in,090331 97197,,4.6,restaurant,,rajkot,gujarat,"Nana Mava Rd, opp. Marwadi Corporate House"
Ghanteshwar Park (The Multi Cuisine Park),"Jamnagar - Rajkot Hwy, Brahmnad Society, Ghanteshwer, Rajkot, Gujarat 360005",ghanteshwarpark.com,099745 88588,,4.1,restaurant,,rajkot,gujarat,"Jamnagar - Rajkot Hwy, Brahmnad Society"
The Secret Kitchen,"Shop No 8, RK World Tower, Bus Stop, 9 10, 150 Feet Ring Rd, nr. Shital Park, Sheetal Park, Shastri Nagar, Dharam Nagar Society, Rajkot, Gujarat 360007",,076009 17009,,4.3,restaurant,,rajkot,gujarat,"Shop No 8, RK World Tower"
"✅ Mehul's Kitchen Rajkot - Fix Punjabi Thali, Best Chole Bhature, Famous Dal Khichdi, Good Packed Food, Lunch Meal in Rajkot","Dr Yagnik Rd, near Heera-Panna, Sarveshwar Chowk, Jagnath Plot, Rajkot, Gujarat 360001",mehulskitchenrajkot.com,,,3.9,restaurant,,rajkot,gujarat,"Dr Yagnik Rd, near Heera-Panna"
Matuki Restaurant,"Kalavad Rd, opp. Rangoli Park, near Mota Mava, Mota Mava, Rajkot, Gujarat 360005",,081404 00040,,4.2,restaurant,,rajkot,gujarat,"Kalavad Rd, opp. Rangoli Park"
The Grand Thakar Restaurant,"8R22+RVG, Jawahar Rd, opp. Jubilee Road, Lohana Para, Rajkot, Gujarat 360001",hotelthakar.com,096871 89099,,4.3,restaurant,,rajkot,gujarat,"8R22+RVG, Jawahar Rd"
Amritsar Haveli Rajkot,"West Gate Complex, Near Raiya Chowkdi, 150 Feet Ring Road, Shop No 5 & 6, Rajkot, Gujarat 360007",amritsarhaveligroup.com,074349 99988,,4.3,restaurant,,rajkot,gujarat,"West Gate Complex, Near Raiya Chowkdi"
Saraza | Best Banquet Hall & Restaurant in Rajkot,"Saraza, Kalavad Rd, opp. Cosmoplex Cinema, Rajkot, Gujarat 360005",saraza.in,072728 72727,,4.3,restaurant,,rajkot,gujarat,"Saraza, Kalavad Rd"
Om Restaurant,"Meghani Rang Bhavan, 1st Gaurang Complex, Circle, 80 Feet Rd, Bhakti Nagar, Rajkot, Gujarat 360002",,0281 222 7272,,4.3,restaurant,,rajkot,gujarat,"Meghani Rang Bhavan, 1st Gaurang Complex"
House of Size Zero,"Republic Hotel, Akshar Marg, Near Krunchy, Gujarat Housing Board, Kotecha Nagar, Rajkot, Gujarat 360001",sizezerocafe.com,090161 39750,,4.2,restaurant,,rajkot,gujarat,"Republic Hotel, Akshar Marg"
Temptation Restaurant,"Anand Complex, 1st Floor Yogya, Kasturba Rd, Rajkot, Gujarat 360001",m.facebook.com,0281 247 5010,,4.3,restaurant,,rajkot,gujarat,"Anand Complex, 1st Floor Yogya"
LORDS BANQUET RESTAURANT,"Ground floor, Opp. Sargam foods, Kasturba Rd, Opp Temptation, Kashivishwanath Plot, Sadar, Rajkot, Gujarat 360002",lordsbanquetrestaurant.shop,0281 244 4486,,4.2,restaurant,,rajkot,gujarat,"Ground floor, Opp. Sargam foods"
Radhika Restaurant,"7RJ5+92V Nateshwar Mahadev, 80 Feet Rd, Kothariya Colony, Bhakti Nagar, Rajkot, Gujarat 360002",,,,4.1,restaurant,,rajkot,gujarat,"7RJ5+92V Nateshwar Mahadev, 80 Feet Rd"
Barbeque Nation - Rajkot - Crystal Mall,"Crystal Mall Rajkot, 3rd Floor, Kalavad Rd, Opp. Rani Tower, Rajkot, Gujarat 360005",,080 6902 8773,,4.5,restaurant,,rajkot,gujarat,"Crystal Mall Rajkot, 3rd Floor"
Giriraj Multi Cuisine Restaurant,"Mota Mava, Rajkot, Gujarat 360005",,090999 25325,,3.9,restaurant,,rajkot,gujarat,"Mota Mava, Rajkot"
Pandya'z Rasthal,"3 & 4 West Gate Complex Nagrik Sahakari Bank, 150 Feet Ring Rd, opp. Rajkot, Near Raiya Circle, Rajkot, Gujarat 360007",,096244 74464,,4.1,restaurant,,rajkot,gujarat,"3 & 4 West Gate Complex Nagrik Sahakari Bank, 150 Feet Ring Rd"
Michi's Restaurant,"Ground Floor Akshardeep Apartment B Street, 4, University Rd, Indira Circle, Rajkot, Gujarat 360005",,0281 258 2912,,4.1,restaurant,,rajkot,gujarat,"Ground Floor Akshardeep Apartment B Street, 4"
✪✔Sasuji Ka Dhaba / Best Multicuisine Restaurant / Punjabi / Gujrati Thali / Hocco Ice-cream Rajkot,"Race Course Rd, Alabai's Bhattha., Jagnath Plot, Rajkot, Gujarat 360001",,099740 07500,,4.0,restaurant,,rajkot,gujarat,"Race Course Rd, Alabai's Bhattha."
Adingo Foods,"Subhash Road, Limda Chowk, Near, Sadar, Rajkot, Gujarat 360002",,076002 51765,,3.9,restaurant,,rajkot,gujarat,"Subhash Road, Limda Chowk"
Patel Vihar Restaurant,"8R7P+W69, Rajkot Ahmedabad Highway, Kuvadava Rd, Navagam, Rajkot, Gujarat 360003",,,,4.2,restaurant,,rajkot,gujarat,"8R7P+W69, Rajkot Ahmedabad Highway"
Madhav Restaurant,"Corporation Chok, P.R.Complex, Dhebar Rd, near ST bus stop, Rajputpara, Rajkot, Gujarat 360001",madhavrestaurant.in,088660 95795,,4.1,restaurant,,rajkot,gujarat,"Corporation Chok, P.R.Complex"
Sonali Restaurant,"Race Course Road, Rajkot, Gujarat 360001",,099983 20007,,4.2,restaurant,,rajkot,gujarat,"Race Course Road, Rajkot"
Pankaj Restaurant,"MG Road Opposite Girnar Cinema, Fullchhab Chowk, Rajkot, Gujarat 360001",,097145 55546,,3.9,restaurant,,rajkot,gujarat,"MG Road Opposite Girnar Cinema, Fullchhab Chowk"
Jaddu’s Food Field,"Street Number 5, Kalavad Rd, opp. prem mandir, Ambedkar Nagar, Nana Mava, Rajkot, Gujarat 360005",,090164 44666,,4.0,restaurant,,rajkot,gujarat,"Street Number 5, Kalavad Rd"
Rajbhog Restaurant,"150 Feet Ring Road, Ayodhya Chowk, opp. synergy hospital, Rajkot, Gujarat 360006",,063587 63387,,4.3,restaurant,,rajkot,gujarat,"150 Feet Ring Road, Ayodhya Chowk"
Sankalp Restaurant,"Near Jilla Panchayat, Chowk, Race Course Rd, Rajkot, Gujarat 360001",sankalponline.com,0281 244 0800,,4.2,restaurant,,rajkot,gujarat,"Near Jilla Panchayat, Chowk"
The Coconut Groove - Multi Cuisine Restaurant by Patria Suites,"Quality Inn Patria Suites, Rajkot, Airport Main Rd, Amarjeet Nagar, Rajkot, Gujarat 360007",patriasuites.com,078599 55905,,4.1,restaurant,,rajkot,gujarat,"Quality Inn Patria Suites, Rajkot"
Bal Gopal Restaurant,"9R53+423, Rajkot - Morbi Hwy, Rajkot, Gujarat 360028",,098790 77877,,4.2,restaurant,,rajkot,gujarat,"9R53+423, Rajkot - Morbi Hwy"
Bukhara Restaurant,"Kanak Rd, Karanpara, Rajkot, Gujarat 360001",hotelkavery.com,0281 223 9331,,4.6,restaurant,,rajkot,gujarat,"Kanak Rd, Karanpara"
Patel Restaurant,"7QXM+F63, Raiya Rd, Vaishali Nagar, Rajkot, Gujarat 360002",,,,4.2,restaurant,,rajkot,gujarat,"7QXM+F63, Raiya Rd"
RV's Kitchen,"New 150, ft Ring Road, Rajkot, Gujarat 360005",,082820 28280,,4.6,restaurant,,rajkot,gujarat,"New 150, ft Ring Road"
The Heritage Palace Resort | Rajkot's Best Poolside Restaurant,"Jamnagar - Rajkot Hwy, beside Niranjan Shah Stadium, Rajkot, Gujarat 360110",theheritagepalace.in,089805 14747,,4.7,restaurant,,rajkot,gujarat,"Jamnagar - Rajkot Hwy, beside Niranjan Shah Stadium"
TOMATO'S - Rajkot,"Dr Yagnik Rd, OPP. D H COLLEGE, Jagnath Plot, Rajkot, Gujarat 360001",,081282 46246,,4.2,restaurant,,rajkot,gujarat,"Dr Yagnik Rd, OPP. D H COLLEGE"
Moris Multicusine Restaurant,"Kunj Commercial Complex, Canal Rd, Karanpara, Rajkot, Gujarat 360001",,098244 08283,,4.0,restaurant,,rajkot,gujarat,"Kunj Commercial Complex, Canal Rd"
Binaka Restaurant and Caterers,"2, Nana Mauva Main Rd, Parnakuti Society, Vidhut Nagar, Nana Mava Rd, Rajnagar, Parnakuti Society, Vidhut Nagar, Rajkot, Gujarat 360001",,,,4.5,restaurant,,rajkot,gujarat,"2, Nana Mauva Main Rd"
Amrut Restaurant,"Railway Staion Road Opp Junction Railway, beside Bhaitya Boarding, Rajkot, Gujarat 360001",,096624 36036,,4.2,restaurant,,rajkot,gujarat,"Railway Staion Road Opp Junction Railway, beside Bhaitya Boarding"
Balgopal Restaurant,"Juno Morbi Rd, near Sardar Complex, Jai Nandan Nagar, Rajkot, Gujarat 360003",,098790 77855,,4.1,restaurant,,rajkot,gujarat,"Juno Morbi Rd, near Sardar Complex"
Sahajanand Restaurant,"150 Feet Ring Rd, Chowkdi, Mavdi, Rajkot, Gujarat 360004",sahajanandrestaurant.in,,,4.2,restaurant,,rajkot,gujarat,"150 Feet Ring Rd, Chowkdi"
Aarya Grand Hotels & Resorts Horn Ok Please Restaurant,"Rajkot - Ahmedabad Hwy, near Petrol Pump, Maliyasan, Gujarat 360003",,086904 44333,,4.1,restaurant,,rajkot,gujarat,"Rajkot - Ahmedabad Hwy, near Petrol Pump"
The J D Restaurant - Rajkot,"Hp petrol pump jaynath traders, Shri Chetan Hanuman mandir, Ghodeswar mahadev, near of masjid, Ganjiwada, Shivaji Nagar, Shakti Industrial Zone, Rajkot, Gujarat 360003",,098798 72485,,4.4,restaurant,,rajkot,gujarat,"Hp petrol pump jaynath traders, Shri Chetan Hanuman mandir"
Flavours Restaurant,"Dr Yagnik Rd, near malviya pump, Manhar Plot, Bhakti Nagar, Rajkot, Gujarat 360002",,099789 77902,,4.3,restaurant,,rajkot,gujarat,"Dr Yagnik Rd, near malviya pump"
Hotel Bhabha & Bhabha Dining Hall,"Panchnath Rd, Lohana Para, Rajkot, Gujarat 360001",hotelbhabha.com,0281 222 0866,,4.2,restaurant,,rajkot,gujarat,"Panchnath Rd, Lohana Para"
