name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Spice Villa Restaurant,"Surat - Dumas Rd, Behind Iscon Mall, Piplod, Surat, Gujarat 395007",spicevilla.in,074358 88001,,4.2,restaurant,,surat,gujarat,"Surat - Dumas Rd, Behind Iscon Mall"
The Royal Maharaja Palace,"C/301 Aagam Vivianna, opp. Florencce Residency, Vesu, Surat, Gujarat 395007",,084900 01889,,4.7,restaurant,,surat,gujarat,"C/301 Aagam Vivianna, opp. Florencce Residency"
Mr. Multicuisine Restaurant and Banquets,"Swastik House, Upper Ground Floor and Basment, Near Kargil Chowk, Dumas Rd, Piplod, Surat, Gujarat 395007",mrhospitality.in,099251 24000,,4.4,restaurant,,surat,gujarat,"Swastik House, Upper Ground Floor and Basment"
Trezoro | Fine Dine Restaurant & Cafe,"near Radha Krishna temple, Jalaram Society, Piplod, Surat, Gujarat 395007",trezoro.co.in,087994 93471,,4.6,restaurant,,surat,gujarat,"near Radha Krishna temple, Jalaram Society"
Barbeque Nation - Surat - Parle Point,"1st Floor, Golden Square, Shaheed Veer Bhagat Singh Flyover Brg, near Sargam Shopping Center, Athwa, Surat, Gujarat 395007",barbequenation.com,080 6902 8771,,4.4,restaurant,,surat,gujarat,"1st Floor, Golden Square"
It's Mirchi,"12th Floor, B- Tower, Vivanta iCon Near Maduvan circle, Road, L.P.Savani, Surat, Gujarat 395009",rameehotels.com,074860 01612,,4.5,restaurant,,surat,gujarat,"12th Floor, B- Tower"
Sasumaa Gujarati Thali,"Mangal Deep Complex, Ring Rd, opp. Vanita Vishram Ground, Vijay Nagar, Majura Gate, Surat, Gujarat 395007",sasumaarestaurant.com,076986 52652,,4.1,restaurant,,surat,gujarat,"Mangal Deep Complex, Ring Rd"
Kabir Restaurant,"Shop No. F1 to F5, Kailash Chowkdi, KSB Olympia, Opp. Althan Bamaroli, BRTS Road, Bamaroli, Surat, Gujarat 394210",,097240 58440,,4.9,restaurant,,surat,gujarat,"Shop No. F1 to F5, Kailash Chowkdi"
Mysore Cafe,"Daruwalla Building Besides Athwa Petrol Pump, Athwalines, Surat, Gujarat 395001",,0261 246 3767,,4.3,restaurant,,surat,gujarat,"Daruwalla Building Besides Athwa Petrol Pump, Athwalines"
Avadh Family Restaurant,"Yash Plaza, Varachha Main Rd, Ramdarshan Society, Varachha, Surat, Gujarat 395006",,0261 255 5800,,4.4,restaurant,,surat,gujarat,"Yash Plaza, Varachha Main Rd"
Radha Krishna Restaurant,"Sumerru Business Corner, Rajhans Multiplex Lane, Pal Gam, Surat, Gujarat 394510",,082004 43230,,4.6,restaurant,,surat,gujarat,"Sumerru Business Corner, Rajhans Multiplex Lane"
De' Villa Garden Restro Lounge,"L.P Savani Sports Complex Adajan, Hazira Rd, Bhatha, Surat, Gujarat 394510",feedspace.io,081288 70440,,4.3,restaurant,,surat,gujarat,"L.P Savani Sports Complex Adajan, Hazira Rd"
Pavilion Restaurant,"VIP Rd, behind CB Patel Health Club, Vesu, Surat, Gujarat 395007",pavilionrestaurant.in,074358 88003,,4.2,restaurant,,surat,gujarat,"VIP Rd, behind CB Patel Health Club"
Girnar Multi-Cuisine Restaurant & Banquets,"FP 42/1, TP15, near Pal Lake Garden, Pal Gam, Surat, Gujarat 394510",,098511 75175,,4.2,restaurant,,surat,gujarat,"FP 42/1, TP15"
Spice Petals - a Fleet Restro & Banquet,"Gaurav Path Road, Pal Gam, Surat, Gujarat 394510",instagram.com,093718 39999,,4.6,restaurant,,surat,gujarat,"Gaurav Path Road, Pal Gam"
Lemon Grass Garden Restaurant,"Pal Lake, to, Gaurav Path Road, Surat, Gujarat 394510",,063563 73333,,4.2,restaurant,,surat,gujarat,"Pal Lake, to"
V - The Restaurant,"Punit Nagar Society, Rander Rd, Shree Rang Society, Shree Punit Nagar Society, Dindayal Society, Sima Nagar, Surat, Gujarat 395005",vijaydairy.com,097120 89000,,4.9,restaurant,,surat,gujarat,"Punit Nagar Society, Rander Rd"
Richie Rich,"Richie Rich, 395007 59, Surat - Dumas Rd, opp. Golden Square Complex, Parle Point, City Light Town, Athwa, Surat, Gujarat 395007",,094266 75959,,4.1,restaurant,,surat,gujarat,"Richie Rich, 395007 59"
"Nini's Kitchen - Piplod, Surat","Treat Food Mall, 1-3, Surat - Dumas Rd, nr. Valentine Cinema, Piplod, Surat, Gujarat 395007",ninis.co.in,099255 96666,,4.2,restaurant,,surat,gujarat,"Treat Food Mall, 1-3"
3Seventy Kitchen,"Galleria St, Near Sanjeev Kumar Auditorium, Adajan Gam, Pal Gam, Surat, Gujarat 394510",3seventy.in,080001 00370,,4.2,restaurant,,surat,gujarat,"Galleria St, Near Sanjeev Kumar Auditorium"
