name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
SNITCH - Gandhinagar,"Pandit Dindayal Upadhyay Marg, Kudasan, Gandhinagar, Gujarat 382419",snitch.com,063669 75695,,4.7,shop,,gandhinagar,gujarat,"Pandit Dindayal Upadhyay Marg, Kudasan"
Payal A Family Shop,"217, CHH Rd, Sector 21, Gandhinagar, Gujarat 382021",instagram.com,091045 30302,,4.4,shop,,gandhinagar,gujarat,"217, CHH Rd"
Arihant Outlets Sector 7,"B/H 6/7, Bus Stop, 784/2, GH Rd, Sector 7/B, Sector 7, Gandhinagar, Gujarat 382007",,070698 67784,,4.2,shop,,gandhinagar,gujarat,"B/H 6/7, Bus Stop"
Kabir Mall,"Plot no 906, near nigam petrol pump, Sector 21, Gandhinagar, Gujarat 382021",kabirworld.co.in,090333 03343,,4.7,shop,,gandhinagar,gujarat,"Plot no 906, near nigam petrol pump"
The Gift Gallery,"Shop No. - 2, Ground Floor, The Urbania Shivalay Circle, Road, Kudasan, Gandhinagar, Gujarat 382419",instagram.com,098792 25674,,4.9,shop,,gandhinagar,gujarat,"Shop No. - 2, Ground Floor"
Arihant Outlets Sector 21 (Kids & Ladies Wear),"216, District Shopping Center, opp. Post Office, Sector 21, Gandhinagar, Gujarat 382021",,,,4.1,shop,,gandhinagar,gujarat,"216, District Shopping Center"
"Priyansh Selection(custom_hub) Watch Store, Perfume ,Sunglasses ,Wallet ,Bag's","Shop No 5, Shreenath Complex, Near 17/22 Bus Stand, 6/8, Rd No. 5, Gandhinagar, Gujarat 382021",,094273 05999,,4.9,shop,,gandhinagar,gujarat,"Shop No 5, Shreenath Complex"
"208,DISTRICT SHOPPING CENTRE, SECTOR-21,GANDHINAGAR","SHOPPING CENTRE, 208 DISTRICT SHOPPING CENTRE, Sector 21, Gandhinagar, Gujarat 382021",prashantbpatel.com,,,4.2,shop,,gandhinagar,gujarat,"SHOPPING CENTRE, 208 DISTRICT SHOPPING CENTRE"
Sanskrit Gift Shop,"Plot no 1186, Sector_3/D, Near Hi tech hospital, Gujarat 382006",,070165 15155,,4.4,shop,,gandhinagar,gujarat,"Plot no 1186, Sector_3/D"
KABIR WORLD VTC - THE GIFT & HOME DECOR STORE,"VTC, B 9, VRUNDAVAN TRADE CENTER, Kudasan, Gandhinagar, Gujarat 382419",kabirworld.co.in,090333 03343,,4.8,shop,,gandhinagar,gujarat,"VTC, B 9"
THE UNIQUE STORE,"Shop No 23, Ground Floor, Pramukh Tangent, near Sargasan Cross Road, Sargasan, Gandhinagar, Gujarat 382419",bio.link,087807 23447,,4.9,shop,,gandhinagar,gujarat,"Shop No 23, Ground Floor"
The Raymond shop,"Plot no 208, District Shopping Centre, Sector 21, Gandhinagar, Gujarat 382021",sector-21.myraymond.com,080 4493 9199,,4.6,shop,,gandhinagar,gujarat,"Plot no 208, District Shopping Centre"
"Amar Sports - Best Yonex dealer in Gandhinagar, Top Sport accessories in Gandhinagar, Best sports Shop in Gandhinagar,","Shop No, A 3, Sector 21, Gandhinagar, Gujarat 382021",instagram.com,097730 46311,,4.6,shop,,gandhinagar,gujarat,"Shop No, A 3"
Vishwakarma Shopping Centre,"896/B, Rd Number 6, Sector 21, Gandhinagar, Gujarat 382021",,,,4.0,shop,,gandhinagar,gujarat,"896/B, Rd Number 6"
Shopping Market,"1164 A/1, 1164 A/1, Sector 2A, Sector 2D, Sector 2, Gandhinagar, Gujarat 382016",,,,4.0,shop,,gandhinagar,gujarat,"1164 A/1, 1164 A/1"
LG Brand Shop - Deeva Sales,"862, Vishwakarma Shopping Center, nr. PNB Bank, Sector 21, Gandhinagar, Gujarat 382021",lg.com,,,4.8,shop,,gandhinagar,gujarat,"862, Vishwakarma Shopping Center"
"Arihant Outlets, Kudasan","Plot No. 103, Kudasan-Por Rd, beside The Landmark, opp. Siddharaj Z Square, Kudasan, Gandhinagar, Gujarat 382419",,070698 64103,,4.6,shop,,gandhinagar,gujarat,"Plot No. 103, Kudasan-Por Rd"
Mahalaxmi Car Shringar & Spare Parts,"Plot No, 162/1, CHH Rd, opposite Nigam Petrol Pump, Sector 21, Gandhinagar, Gujarat 382021",,097232 35678,,4.0,shop,,gandhinagar,gujarat,"Plot No, 162/1"
Ravi Stationery & General store,"6MH9+V79, Chh Road, near Chh-5, Sector 20, Gandhinagar, Gujarat 382021",,099982 21644,,4.3,shop,,gandhinagar,gujarat,"6MH9+V79, Chh Road"
