name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
CAVE Menswear Clothing and Accessories store RAJKOT,"Pearl Plaza, Amin Marg, opp. Bharat Petrol Pump, near Ganga Hall, Bharatvan Society, Nalanda Society, Rajkot, Gujarat 360001",instagram.com,090999 63899,,4.8,shop,,rajkot,gujarat,"Pearl Plaza, Amin Marg"
World's Gift Mall,"Amrg Near Rotary, Midtown Library, Ground Floor Shriurya Complex 5/9, Amin Marg, Indira Circle, Sirvar Park, Kotecha Nagar, Rajkot, Gujarat 360001",worldsgiftmall.com,0281 247 5911,,4.0,shop,,rajkot,gujarat,"Amrg Near Rotary, Midtown Library"
Cloth Market,"Sir Lakhajiraj Rd, Lohana Para, Rajkot, Gujarat 360001",,,,4.1,shop,,rajkot,gujarat,"Sir Lakhajiraj Rd, Lohana Para"
MAGSON - Rajkot - Kotecha Chowk,"Fortune Square, University Rd, below BANK OF INDIA, Near Kotecha Chowk, Jala Ram Nagar, Rajkot, Gujarat 360001",magson.in,099786 70907,,4.6,shop,,rajkot,gujarat,"Fortune Square, University Rd"
Decathlon Sports - Rajkot,"No. 2&3, JP Sapphire, Race Course Rd, near GST Bhavan, Race Course, Sadar, Rajkot, Gujarat 360001",decathlon.in,096200 70001,,4.8,shop,,rajkot,gujarat,"No. 2&3, JP Sapphire"
Kothari Departmental Store,"Sir Lakhajiraj Rd, Diwanpara, Rajkot, Gujarat 360001",,0281 223 2358,,3.8,shop,,rajkot,gujarat,"Sir Lakhajiraj Rd, Diwanpara"
MOTHER THE GIFT BAZAR,"Ground Floor, Dr Yagnik Rd, Opp.Hotel Rajdoot, Jagnath Plot, Rajkot, Gujarat 360001",,098257 11929,,4.2,shop,,rajkot,gujarat,"Ground Floor, Dr Yagnik Rd"
The Rajkot Store,"first floor, Reliance Mall, 150 Feet Ring Rd, Karan Park, Rajkot, Gujarat 360005",,098794 70125,,4.0,shop,,rajkot,gujarat,"first floor, Reliance Mall"
Reliance Mall,"Survey No 30, Plot No 2/A, 150 Feet Ring Rd, opposite Big Bazaar, Nana Mava, Rajkot, Gujarat 360005",relianceretail.com,1800 102 7382,,4.3,shop,,rajkot,gujarat,"Survey No 30, Plot No 2/A"
NICE AND NEW,"Rajeswari Complex, Dr Yagnik Rd, opposite Ram Krishna Ashram, Jagnath Plot, Rajkot, Gujarat 360001",,078781 00009,,,shop,,rajkot,gujarat,"Rajeswari Complex, Dr Yagnik Rd"
