name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
The Shoppe,"Divya Siddhi Inox, Cinema Rd, Natubhai Cir, Race Course, Vadodara, Gujarat 390007",,0265 233 3620,,4.4,shop,,vadodara,gujarat,"Divya Siddhi Inox, Cinema Rd"
Variety Shop,"Amitnagar Shopping Centre, G 13 Nageshwar, VIP Rd, Karelibagh, Vadodara, Gujarat 390022",instagram.com,078189 33933,,3.9,shop,,vadodara,gujarat,"Amitnagar Shopping Centre, G 13 Nageshwar"
The Low Rate Shop,"Shop No. 3, Mahavir Chambers, opp. Ellora Milk Centre, Ellora Park, Subhanpura, Vadodara, Gujarat 390023",,098984 66709,,4.2,shop,,vadodara,gujarat,"Shop No. 3, Mahavir Chambers"
Mumbai Market,"FIRST FLOOR, CENTRE SQUARE MALL, Gujarat 390007",,,,4.6,shop,,vadodara,gujarat,"FIRST FLOOR, CENTRE SQUARE MALL"
Baroda Variety Shop,"B25, Blue Diamond Complex, Fatehgunj, Vadodara, Gujarat 390002",instagram.com,063532 99100,,4.9,shop,,vadodara,gujarat,"B25, Blue Diamond Complex"
Vinayak Shop,"Hariom Park, B-1, behind Old RTO 390006, Laxmi Park Society, Premdas Nagar, Warasiya, Vadodara, Gujarat 390006",vinayakshoponline.com,091067 45090,,4.4,shop,,vadodara,gujarat,"Hariom Park, B-1"
"Mukesh Sports || Best Sports Shop, Sports Clothing Store, Best Trophies And Memento Store","Shirke Buildin Professor Manekar Road Near Sayaji Radio House, Dandia Bazaar Rd, Vadodara, Gujarat 390001",,0265 242 6261,,4.2,shop,,vadodara,gujarat,"Shirke Buildin Professor Manekar Road Near Sayaji Radio House, Dandia Bazaar Rd"
Baroda Prints Traditional,"Rudraksh complex, Urmi char rasta, 2-GF, BPC Rd, Laxmi Colony, Anand Nagar, Alkapuri, Vadodara, Gujarat 390007",,0265 355 7295,,4.1,shop,,vadodara,gujarat,"Rudraksh complex, Urmi char rasta"
Knya Store - Vadodara,"Besides Nayak Hospital, Salatwada Main Rd, opp. SSG Government Medical College, Salatwada, Karelibagh, Vadodara, Gujarat 390001",knyamed.com,099872 00005,,4.9,shop,,vadodara,gujarat,"Besides Nayak Hospital, Salatwada Main Rd"
The variety shopee,"C-28,SHREE KUNJ HEIGHTS, GIDC Rd, beside BANKERS HOSPITAL, opp. MAHALAXMI PARTY PLOT, Manjalpur, Vadodara, Gujarat 390011",,087588 86662,,4.8,shop,,vadodara,gujarat,"C-28,SHREE KUNJ HEIGHTS"
Croma - Centre Square,"Centre Square Mall, Sarabhai Rd, opp. Vadodara Central, Subhanpura, Vadodara, Gujarat 390007",store.croma.com,095746 62338,,4.8,shop,,vadodara,gujarat,"Centre Square Mall, Sarabhai Rd"
Hamleys- The finest toy shop in the world,"S12A & S12B, Inorbit Mall, No S23A, S23B, Gorwa Rd, opposite Alembic School, Subhanpura, Vadodara, Gujarat 390023",stores.hamleys.in,088798 83574,,4.3,shop,,vadodara,gujarat,"S12A & S12B, Inorbit Mall"
Eva The Mall,"Saraswati Complex, Vrajdham Mandir Rd, Vaishnavdevi society, Manjalpur, Vadodara, Gujarat 390011",evathemall.com,081419 97777,,4.4,shop,,vadodara,gujarat,"Saraswati Complex, Vrajdham Mandir Rd"
VIJAY SALES - VADODARA,"M Cube Jetalpur Road, Chakli Cir, Alkapuri, Vadodara, Gujarat 390007",stores.vijaysales.com,0265 619 0000,,4.7,shop,,vadodara,gujarat,"M Cube Jetalpur Road, Chakli Cir"
Glow Fashion,"Shop No 1, Saheli Park Apartment, behind Seven sead Mall, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002",instagram.com,090164 02094,,4.4,shop,,vadodara,gujarat,"Shop No 1, Saheli Park Apartment"
Croma - Karelibaug,"Ground & 1st Floor, Bricklane Vip Road, L&T Cir, Amit Nagar, Veer Nagar, Karelibagh, Vadodara, Gujarat 390018",store.croma.com,095582 39024,,4.8,shop,,vadodara,gujarat,"Ground & 1st Floor, Bricklane Vip Road"
Arvindbhai Khatri Sons,"A 35-36 WINDSOR PLAZA, RC Dutt Rd, Alkapuri, Vadodara, Gujarat 390007",arvindbhaikhatrisons.com,090165 59101,,4.7,shop,,vadodara,gujarat,"A 35-36 WINDSOR PLAZA, RC Dutt Rd"
Sai Variety Shop,"Kumbhar Wada, Raghuvir Nagar, Anandvan Society, New Sama, Vadodara, Gujarat 390024",,081400 58372,,4.5,shop,,vadodara,gujarat,"Kumbhar Wada, Raghuvir Nagar"
Ganga sarees,"Semi Basement 7B-8, Centre Point, RC Dutt Rd, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007",gangasarees.com,081413 94413,,4.8,shop,,vadodara,gujarat,"Semi Basement 7B-8, Centre Point"
